,Submission ID,Department,14
0,13-02-c5ef,Canadian Food Inspection Agency,Challenges using portal
0,13-02-c5ef,Canadian Food Inspection Agency,Unclear definitions
0,13-02-c5ef,Canadian Food Inspection Agency,Difficulty understanding data requirements
0,13-02-c5ef,Canadian Food Inspection Agency,Challenges with requesting new Service ID/service standard ID
0,13-02-c5ef,Canadian Food Inspection Agency,Unable to attend drop in sessions
0,13-02-c5ef,Canadian Food Inspection Agency,Issues with the service inventory data collection template
0,13-02-c5ef,Canadian Food Inspection Agency,Not applicable
1,14-02-95fd,Correctional Service Canada,Difficulty understanding data requirements
1,14-02-95fd,Correctional Service Canada,Unable to attend drop in sessions
2,13-02-65fb,Public Safety Canada,Issues with the service inventory data collection template
3,28-02-e8b2,Public Services and Procurement Canada,Challenges using portal
3,28-02-e8b2,Public Services and Procurement Canada,Difficulty understanding data requirements
4,18-02-5cdb,Veterans Review and Appeal Board,Unable to attend drop in sessions
5,13-02-ea8d,Financial Transactions and Reports Analysis Centre of Canada,Difficulty understanding data requirements
5,13-02-ea8d,Financial Transactions and Reports Analysis Centre of Canada,Unclear definitions
5,13-02-ea8d,Financial Transactions and Reports Analysis Centre of Canada,Challenges using portal
6,13-02-986d,Military Police Complaints Commission of Canada,Unable to attend drop in sessions
7,19-02-b08b,Shared Services Canada,Unclear definitions
7,19-02-b08b,Shared Services Canada,Difficulty understanding data requirements
7,19-02-b08b,Shared Services Canada,Tight timelines
8,17-02-215a,The Correctional Investigator Canada,Difficulty understanding data requirements
8,17-02-215a,The Correctional Investigator Canada,Unclear definitions
8,17-02-215a,The Correctional Investigator Canada,Issues with the service inventory data collection template
9,27-02-7506,Canada Energy Regulator,Difficulty understanding data requirements
9,27-02-7506,Canada Energy Regulator,Other
10,13-02-9b76,Canada Revenue Agency,Challenges with requesting new Service ID/service standard ID
10,13-02-9b76,Canada Revenue Agency,Tight timelines
10,13-02-9b76,Canada Revenue Agency,Difficulty understanding data requirements
11,27-02-5c8d,Canadian Centre for Occupational Health and Safety,Other
12,27-02-0bbf,Canadian Human Rights Commission,Tight timelines
13,14-02-b38c,Copyright Board Canada,Not applicable
14,26-02-c60d,Correctional Service Canada,Unclear definitions
14,26-02-c60d,Correctional Service Canada,Difficulty understanding data requirements
14,26-02-c60d,Correctional Service Canada,Issues with the service inventory data collection template
14,26-02-c60d,Correctional Service Canada,Tight timelines
14,26-02-c60d,Correctional Service Canada,Other
15,14-02-b7da,Développement économique Canada pour les régions du Québec,Challenges using portal
15,14-02-b7da,Développement économique Canada pour les régions du Québec,Issues with the service inventory data collection template
15,14-02-b7da,Développement économique Canada pour les régions du Québec,Tight timelines
16,13-02-2c99,Health Canada,Challenges with requesting new Service ID/service standard ID
16,13-02-2c99,Health Canada,Issues with the service inventory data collection template
16,13-02-2c99,Health Canada,Tight timelines
16,13-02-2c99,Health Canada,Difficulty understanding data requirements
17,20-02-4a01,Library and Archives Canada,Difficulty understanding data requirements
17,20-02-4a01,Library and Archives Canada,Unclear definitions
17,20-02-4a01,Library and Archives Canada,Challenges using portal
18,28-02-2e59,Privy Council Office,Difficulty understanding data requirements
18,28-02-2e59,Privy Council Office,Unclear definitions
18,28-02-2e59,Privy Council Office,Issues with the service inventory data collection template
18,28-02-2e59,Privy Council Office,Tight timelines
19,14-02-e570,Public Safety Canada,Not applicable
20,18-02-3995,Public Service Commission of Canada,Unclear definitions
20,18-02-3995,Public Service Commission of Canada,Challenges accessing portal
20,18-02-3995,Public Service Commission of Canada,Challenges using portal
20,18-02-3995,Public Service Commission of Canada,Challenges with requesting new Service ID/service standard ID
20,18-02-3995,Public Service Commission of Canada,Issues with the service inventory data collection template
20,18-02-3995,Public Service Commission of Canada,Tight timelines
21,13-02-34d0,Public Services and Procurement Canada,Difficulty understanding data requirements
21,13-02-34d0,Public Services and Procurement Canada,Unclear definitions
21,13-02-34d0,Public Services and Procurement Canada,Tight timelines
22,21-02-f905,Public Services and Procurement Canada,Not applicable
23,27-02-1977,Social Sciences and Humanities Research Council,Difficulty understanding data requirements
24,26-02-8def,Canadian Heritage,Unclear definitions
24,26-02-8def,Canadian Heritage,Challenges using portal
24,26-02-8def,Canadian Heritage,Challenges with requesting new Service ID/service standard ID
24,26-02-8def,Canadian Heritage,Issues with the service inventory data collection template
24,26-02-8def,Canadian Heritage,Other
25,28-02-697a,Immigration and Refugee Board of Canada,Difficulty understanding data requirements
25,28-02-697a,Immigration and Refugee Board of Canada,Unclear definitions
25,28-02-697a,Immigration and Refugee Board of Canada,Challenges with requesting new Service ID/service standard ID
26,27-02-bc16,Impact Assessment Agency of Canada,Unclear definitions
26,27-02-bc16,Impact Assessment Agency of Canada,Difficulty understanding data requirements
26,27-02-bc16,Impact Assessment Agency of Canada,Challenges using portal
26,27-02-bc16,Impact Assessment Agency of Canada,Tight timelines
26,27-02-bc16,Impact Assessment Agency of Canada,Issues with the service inventory data collection template
26,27-02-bc16,Impact Assessment Agency of Canada,Challenges with requesting new Service ID/service standard ID
27,27-02-9ec2,Impact Assessment Agency of Canada,Difficulty understanding data requirements
27,27-02-9ec2,Impact Assessment Agency of Canada,Unclear definitions
27,27-02-9ec2,Impact Assessment Agency of Canada,Issues with the service inventory data collection template
27,27-02-9ec2,Impact Assessment Agency of Canada,Tight timelines
28,13-02-73f5,Office of the Superintendent of Financial Institutions,Unclear definitions
29,13-02-936c,Patented Medicine Prices Review Board Canada,Unclear definitions
30,13-02-b79e,Public Service Commission of Canada,Difficulty understanding data requirements
30,13-02-b79e,Public Service Commission of Canada,Unclear definitions
30,13-02-b79e,Public Service Commission of Canada,Challenges accessing portal
30,13-02-b79e,Public Service Commission of Canada,Issues with the service inventory data collection template
31,18-02-d3f7,Royal Canadian Mounted Police,Challenges using portal
31,18-02-d3f7,Royal Canadian Mounted Police,Issues with the service inventory data collection template
31,18-02-d3f7,Royal Canadian Mounted Police,Tight timelines
31,18-02-d3f7,Royal Canadian Mounted Police,Challenges accessing portal
31,18-02-d3f7,Royal Canadian Mounted Police,Difficulty understanding data requirements
32,18-02-12d0,Royal Canadian Mounted Police,Challenges with requesting new Service ID/service standard ID
32,18-02-12d0,Royal Canadian Mounted Police,Tight timelines
32,18-02-12d0,Royal Canadian Mounted Police,Challenges using portal
33,18-02-08da,Canada Border Services Agency,Other
34,14-02-6aba,Canada Revenue Agency,Difficulty understanding data requirements
34,14-02-6aba,Canada Revenue Agency,Unclear definitions
34,14-02-6aba,Canada Revenue Agency,Challenges using portal
34,14-02-6aba,Canada Revenue Agency,Issues with the service inventory data collection template
34,14-02-6aba,Canada Revenue Agency,Tight timelines
35,13-02-8e40,Canadian Grain Commission,Other
36,18-02-5ec9,Canadian Northern Economic Development Agency,Issues with the service inventory data collection template
37,21-02-9186,Canadian Transportation Agency,Difficulty understanding data requirements
37,21-02-9186,Canadian Transportation Agency,Unclear definitions
37,21-02-9186,Canadian Transportation Agency,Challenges accessing portal
37,21-02-9186,Canadian Transportation Agency,Challenges using portal
37,21-02-9186,Canadian Transportation Agency,Challenges with requesting new Service ID/service standard ID
37,21-02-9186,Canadian Transportation Agency,Unable to attend drop in sessions
37,21-02-9186,Canadian Transportation Agency,Issues with the service inventory data collection template
37,21-02-9186,Canadian Transportation Agency,Tight timelines
38,13-02-8f00,Correctional Service Canada,Difficulty understanding data requirements
38,13-02-8f00,Correctional Service Canada,Unclear definitions
38,13-02-8f00,Correctional Service Canada,Tight timelines
38,13-02-8f00,Correctional Service Canada,Other
38,13-02-8f00,Correctional Service Canada,Issues with the service inventory data collection template
38,13-02-8f00,Correctional Service Canada,Unable to attend drop in sessions
39,13-02-7f32,ESDC,Unclear definitions
39,13-02-7f32,ESDC,Challenges using portal
39,13-02-7f32,ESDC,Issues with the service inventory data collection template
40,13-02-3056,Public Services and Procurement Canada,Difficulty understanding data requirements
40,13-02-3056,Public Services and Procurement Canada,Unclear definitions
40,13-02-3056,Public Services and Procurement Canada,Issues with the service inventory data collection template
40,13-02-3056,Public Services and Procurement Canada,Tight timelines
41,14-02-54e6,Canadian Intergovernmental Conference Secretariat,Unclear definitions
42,27-02-49f7,Federal Economic Development Agency for Northern Ontario,Unclear definitions
43,27-02-c578,Women and Gender Equality Canada,Unclear definitions
44,17-02-fa8a,Canadian Nuclear Safety Commission,Not applicable
45,27-02-45a9,"Immigration, Refugees and Citizenship Canada",Difficulty understanding data requirements
45,27-02-45a9,"Immigration, Refugees and Citizenship Canada",Unclear definitions
45,27-02-45a9,"Immigration, Refugees and Citizenship Canada",Challenges using portal
45,27-02-45a9,"Immigration, Refugees and Citizenship Canada",Tight timelines
46,18-02-e1a4,Les Commissariats à l’information et à la protection de la vie privée du Canada,Difficulty understanding data requirements
46,18-02-e1a4,Les Commissariats à l’information et à la protection de la vie privée du Canada,Challenges using portal
47,24-02-77a8,National Research Council Canada,Unclear definitions
47,24-02-77a8,National Research Council Canada,Challenges accessing portal
47,24-02-77a8,National Research Council Canada,Other
48,13-02-c5a3,Polar Knowledge Canada,Not applicable
49,27-02-57b8,Canada Energy Regulator,Other
50,28-02-5d61,Canadian Human Rights Commission,Tight timelines
51,27-02-8dbd,Department of Finance Canada,Unclear definitions
51,27-02-8dbd,Department of Finance Canada,Other
51,27-02-8dbd,Department of Finance Canada,Tight timelines
52,18-02-74d1,Employment and Social Development Canada,Difficulty understanding data requirements
52,18-02-74d1,Employment and Social Development Canada,Unclear definitions
52,18-02-74d1,Employment and Social Development Canada,Issues with the service inventory data collection template
52,18-02-74d1,Employment and Social Development Canada,Tight timelines
52,18-02-74d1,Employment and Social Development Canada,Other
53,13-02-b56d,Global Affairs Canada,Difficulty understanding data requirements
53,13-02-b56d,Global Affairs Canada,Challenges with requesting new Service ID/service standard ID
53,13-02-b56d,Global Affairs Canada,Issues with the service inventory data collection template
54,19-02-50ec,Indigenous Services Canada,-
55,24-02-6494,National Research Council Canada,Challenges accessing portal
55,24-02-6494,National Research Council Canada,Challenges using portal
