,Submission ID,Department,13
0,13-02-c5ef,Canadian Food Inspection Agency,Helpful drop-in sessions
0,13-02-c5ef,Canadian Food Inspection Agency,Ease of logging in/accessing open portal
0,13-02-c5ef,Canadian Food Inspection Agency,Availability of support from service team
1,14-02-95fd,Correctional Service Canada,Availability of support from service team
2,13-02-65fb,Public Safety Canada,Availability of support from service team
2,13-02-65fb,Public Safety Canada,Ease of logging in/accessing open portal
2,13-02-65fb,Public Safety Canada,Easy to use open portal
2,13-02-65fb,Public Safety Canada,Ease of uploading data
2,13-02-65fb,Public Safety Canada,Ease in requesting new service ID/service standard ID
2,13-02-65fb,Public Safety Canada,Helpful drop-in sessions
2,13-02-65fb,Public Safety Canada,Clear instructions
3,28-02-e8b2,Public Services and Procurement Canada,Availability of support from service team
3,28-02-e8b2,Public Services and Procurement Canada,Ease in requesting new service ID/service standard ID
3,28-02-e8b2,Public Services and Procurement Canada,Ease of logging in/accessing open portal
3,28-02-e8b2,Public Services and Procurement Canada,Easy to use service inventory data collection template
3,28-02-e8b2,Public Services and Procurement Canada,Helpful drop-in sessions
4,18-02-5cdb,Veterans Review and Appeal Board,Clear instructions
4,18-02-5cdb,Veterans Review and Appeal Board,Ease of logging in/accessing open portal
4,18-02-5cdb,Veterans Review and Appeal Board,Easy to use service inventory data collection template
4,18-02-5cdb,Veterans Review and Appeal Board,Helpful drop-in sessions
4,18-02-5cdb,Veterans Review and Appeal Board,Easy to use open portal
4,18-02-5cdb,Veterans Review and Appeal Board,Ease of uploading data
5,13-02-ea8d,Financial Transactions and Reports Analysis Centre of Canada,Availability of support from service team
5,13-02-ea8d,Financial Transactions and Reports Analysis Centre of Canada,Helpful drop-in sessions
6,13-02-986d,Military Police Complaints Commission of Canada,Clear instructions
7,19-02-b08b,Shared Services Canada,Availability of support from service team
7,19-02-b08b,Shared Services Canada,Easy to use open portal
7,19-02-b08b,Shared Services Canada,Ease of uploading data
7,19-02-b08b,Shared Services Canada,Ease of logging in/accessing open portal
7,19-02-b08b,Shared Services Canada,Easy to use service inventory data collection template
7,19-02-b08b,Shared Services Canada,Helpful drop-in sessions
8,17-02-215a,The Correctional Investigator Canada,Ease of logging in/accessing open portal
8,17-02-215a,The Correctional Investigator Canada,Easy to use open portal
9,27-02-7506,Canada Energy Regulator,Ease of uploading data
9,27-02-7506,Canada Energy Regulator,Easy to use open portal
9,27-02-7506,Canada Energy Regulator,Ease of logging in/accessing open portal
9,27-02-7506,Canada Energy Regulator,Accurate and helpful data dictionary
9,27-02-7506,Canada Energy Regulator,Easy to use service inventory data collection template
9,27-02-7506,Canada Energy Regulator,Helpful drop-in sessions
10,13-02-9b76,Canada Revenue Agency,Ease of uploading data
10,13-02-9b76,Canada Revenue Agency,Easy to use open portal
10,13-02-9b76,Canada Revenue Agency,Ease of logging in/accessing open portal
11,27-02-5c8d,Canadian Centre for Occupational Health and Safety,Ease of logging in/accessing open portal
11,27-02-5c8d,Canadian Centre for Occupational Health and Safety,Easy to use open portal
11,27-02-5c8d,Canadian Centre for Occupational Health and Safety,Ease of uploading data
11,27-02-5c8d,Canadian Centre for Occupational Health and Safety,Ease in requesting new service ID/service standard ID
11,27-02-5c8d,Canadian Centre for Occupational Health and Safety,Helpful drop-in sessions
