;0
0;With our department having approximately 130 individual services, this new process has been extremely time-consuming, taxing, and frustrating.  The template is very finicky and required many additional hours for data entry as we could not simply copy and paste from previous or existing in-house workbooks. The process for requesting new SIDs and STIDs was laborious and frustrating, certainly not easy or accurate.  We also spent many additional hours correcting system-generated errors when it issued (sometimes repeatedly) false or duplicate SIDs or STDs. This new process has also caused a rift in collaboration between the Service and Security divisions within our department who now must work separately to complete similar work related to critical services and the Service Inventory.  In discussions with our Security counterparts, their side of the service inventory work (critical services) lacks support and clear direction -- our colleagues leaned heavily on our Service team to provide guidance and training on how to use GCEPM (formerly used for Service Inventory as Clarity) as they felt they did not receive adequate training or direction from TBS Security section. This has added additional stress to our Service workload that should be innovative instead of regressive in both process and reporting tools. The messaging and direction to our two divisions varied and caused a lot of confusion within the department. The Clarity tool and former reporting process is favoured by our team in comparison to the most recent year's.
2;This year was the best for availability from the service team, including quick email responses, replies to GCxchange messages, and clear answers from the drop in sessions. I have been the lead for 4 years now and this year was by far the best in customer service and having clear instructions.
3;I like the changes but it all happened at once and also the data crossing and the fixes required several contacts with the branches and not all people were inclined to provide information in the allowed period so we couldn't provide a whole and fixed information because of the deadlines. Having more time to prepare and to provide feedback in the requests is important for both sides, but i understand this was the first year and the start in the new process, so it is all undesttandable.
7;More help was needed when defining what a service means in the context of the department as SSC's clients are other government departments and not citizens. Not all services offered by SSC could be considered directly orderable or consumable. Clearer instructions when reporting service standards (or lack of data) ahead of time would have been helpful.
8;The Excel template is not easy to use and instructions were sparse.  I recommend using an online portal to capture information rather than trying to fit our requirements into an Excel spreadsheet. Also, macros are disabled in our organization, so it was challenging for us to use the spreadsheet.
14;I'd like to enhance the communication with TBS for guidance and clarifications.
15;Gregory et Francesca ont toujours répondu rapidement à mes questions. Gregory a été disponible pour des rencontres individuelles pour m'aider à trouver les informations recherchées et me soutenir dans la génération des codes de programme. Un grand merci de votre soutien.
18;Reporting of errors was very challenging. We were told we had critical errors, but then did not. This can create a lot of problems up the reporting chain. Definitions are unclear. Should have more clearly indicated the relationship between program codes and departments. In the Excel spreadsheet, it’s just one long list, so if you were unaware, you wouldn’t know that the codes are department-specific. For example, we associated the code BY103 (Public Education and Information) with our Public Enquiries service, but it turned out that the code is specific to the Office of the Chief Electoral Officer. While their website makes this clear, it’s not as evident in the definitions section of the Excel spreadsheet.
20;The fact that the service inventory team (besides Gregory Erikson, he has exceptional client service) point people to GC Connex, or links, or whatever rather than answering questions is  a constant irritant, year over year. It's quite terrible. 
21;Conflicting information and process regarding Service Inventory data requirements and Critical Services requirements continues to be a challenge.
23;The process seems to be designed for tangible services and it is difficult to apply it to grants and scholarships.  Furthermore, the information is provided in November but it takes months to see it on gcinfobase.  Any correction to be made is then difficult and complicated.
24;Process used to communicate critical errors was very confusing and created panic at senior management levels. Minor errors should not have been included especially when these can not be addressed at this time.  Titan was the preferred portal for data entry as it was easy to use and errors were communicated immediately through the portal. 
25;Not ideal that departments had to correct errors in service ID assignments caused by TBS after they had submitted their Service Inventory for 2023-2024. Also, it was difficult to get a response from the Service Policy inbox on what the best path forward was for addressing a data display error for service data on Infobase. On other issues, they were very responsive.
28;Confusion with Critical Service and Non-critical services. To clarify the two reporting requirements or integrate them.
30;Consistency of information related to GC Service Inventory does not always occur. Attempts to stay ahead of process is hard because of the constant changes in Service inventory process.
33;Thank you for the opportunity to provide feedback. We did incorporate some of the design elements from your excel template into our internal reports. 
34;"I think a debrief session with all participating departments could be worthwhile. Each penholder for their department can express what worked well and what did not. The survey won't capture the finer details.

For example, in our case there were numerous problems with the portal and the template because the character limit between English and French were identical. This prevented us from uploading or deleting our entries for quite some time. "
37;Instructions need to be more clear... There is no reference document or support materials to refer to. Very vague process which makes it difficult for someone to do this process for the first time, with no background whatsoever. 
38;"Any changes to data collection/ needs must be communicated officially from TBS prior to the data collection time period, it is not sufficient to ""mention it in a workshop"" and then implement the changes. Clear instructions as to how Deputy Head approval will be collected should be given, forwarding an email is not ideal. Any data definitions must be clearly defined prior to the collection period in order to maintain governance, being informed that there are new relational components after submission of the inventory is not sufficient."
42;"I appreciated the drop-in sessions. Extremely helpful. Instructions pertaining to the IDs and what to include was not clear; however, easily rectified through the drop in sessions."
43;Being the first time my unit to conduct the Service inventory on behalf of WAGE, it required transfer of knowledge  that took extra work and time.  As mention higher up , the understanding of the definition was sometime challenging, the support given by TBS was required and appreciated.
44;No
45;"The open data portal service list isn't captured in the search tool from gc.ca. It's incredibly difficult to find the information we presented from the GC site.

IN order to access it we had to use Google. "
46;"Malgré une certaine amélioration, le dictionnaire des données  (fichier Excel) est loin de faire l'unanimité auprès des gestionnaires de services pour la collecte d'informations. 

L'égalité des langues officielles doit être assurée dans toutes les communications et tous les documents de travail et de référence. "
48;Strongly support the move from Clarity. Would encourage updates to the GC Service Community page for ease of use and finding information.
49;There has been a different submission process every year for the past three years (e.g., Excel spreadsheet submission by email, submission in Clarity only, Excel spreadsheet loaded to Open Gov Portal, etc.). It would be really helpful to establish a consistent process so that it becomes less burdensome, because very time the process changes, we have to devote additional hours to learn the new process, and then adapt our own internal processes. Thanks so much for considering. :)
