;fiscal_yr;service_id;service_name_en;service_name_fr;service_standard_id;service_standard_en;service_standard_fr;type;gcss_tool_fiscal_yr;channel;channel_comments_en;channel_comments_fr;target_type;target;volume_meeting_target;total_volume;performance;comments_en;comments_fr;target_met;standards_targets_uri_en;standards_targets_uri_fr;performance_results_uri_en;performance_results_uri_fr;org_name_variant;org_id;department_en;department_fr;fy_org_id_service_id
11169;2023-2024;SRV02793;Meteorological Support for Environmental Emergency Response;Soutien météorologique pour les urgences environnementales;STAN00005148;The Environmental Emergency Response Section provides modeling to the Comprehensive Nuclear-Test-Ban Treaty Organization as a Regional Specialized Meteorological Center within 24 hours or less of receiving a request.;La Section de la réponse aux urgences environnementales fournit de la modélisation à l’Organisation du Traité d'interdiction complète des essais nucléaires en tant que Centre Météorologique Régional Spécialisé en 24 heures ou moins après avoir reçu une demande.;TML;;ONL;;;;;5.0;5.0;1.0;;;;https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html;https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html;http://;http://;ec;137.0;Environment and Climate Change Canada;Environnement et Changement climatique Canada;2023-2024_137_SRV02793
11170;2023-2024;SRV02793;Meteorological Support for Environmental Emergency Response;Soutien météorologique pour les urgences environnementales;STAN00005149;The Environmental Emergency Response Section provides modeling to the International Atomic Energy Agency and to the National Meteorological and Hydrological Services of World Meteorological Organization member countries in the Americas as a Regional Specialized Meteorological Centre;La Section de la réponse aux urgences environnementales fournit de la modélisation à l’Agence international de l’énergie atomique et aux Services météorologiques et hydrologiques nationaux des pays-membres de l’Organisation météorologique mondiale des Amériques en tant que Centre météorologique régional spécialisé pour des incidents nucléaires en 3 heures ou moins après avoir reçu une demande.;TML;;ONL;;;;;12.0;12.0;1.0;;;;https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html;https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html;http://;http://;ec;137.0;Environment and Climate Change Canada;Environnement et Changement climatique Canada;2023-2024_137_SRV02793
11171;2023-2024;SRV02793;Meteorological Support for Environmental Emergency Response;Soutien météorologique pour les urgences environnementales;STAN00005150;The Environmental Emergency Response Section provides modeling to World Meteorological Organization member countries as a Regional Specialized Meteorological Center for non-nuclear incidents (e.g. forest fires, industrial fires, chemical releases without fires) within 2 hours or less.;La Section de la réponse aux urgences environnementales fournit de la modélisation à des pays-membres de l’Organisation météorologique mondiale en tant que Centre météorologique régional spécialisé pour des incidents non nucléaires (p.ex. feux de forêts, incendies industriels, rejets chimiques sans incendie) en 2 heures ou moins après avoir reçu une demande.;TML;;ONL;;;;;3.0;3.0;1.0;;;;https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html;https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html;http://;http://;ec;137.0;Environment and Climate Change Canada;Environnement et Changement climatique Canada;2023-2024_137_SRV02793
11172;2023-2024;SRV02793;Meteorological Support for Environmental Emergency Response;Soutien météorologique pour les urgences environnementales;STAN00005151;The Environmental Emergency Response Section issues Volcanic Ash Advisories as the International Civil Aviation Organization designated Volcanic Ash Advisory Centre in Montreal, according to the established deadlines.;La Section de la réponse aux urgences environnementales émet des avis de cendres volcaniques en tant que Centre d'avis de cendres volcaniques de Montréal désigné par l’Organisation de l’aviation civile internationale, selon les délais établis.;TML;;ONL;;;;;2.0;3.0;0.6667;;;;https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html;https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html;http://;http://;ec;137.0;Environment and Climate Change Canada;Environnement et Changement climatique Canada;2023-2024_137_SRV02793
11202;2023-2024;1855;Travel Information Program;Programme de renseignements aux voyageurs;3959;Urgent Travel Advice and Advisories updates;Mises à jour urgentes des Conseils aux voyageurs et avertissements;TML;;ONL;;;;;4038.0;4038.0;1.0;Reflects the total of Non-urgent Travel Advice and Advisories updates and Urgent Travel Advice and Advisories updates;Reflète le total des mises à jour des conseils et avis aux voyageurs non urgents et des mises à jour des conseils et avis aux voyageurs urgents.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_1855
11203;2023-2024;1855;Travel Information Program;Programme de renseignements aux voyageurs;3960;Non-urgent Travel Advice and Advisories updates;Mises à jour non urgentes des Conseils aux voyageurs et avertissements;TML;;ONL;;;;;4038.0;4038.0;1.0;Reflects the total of Non-urgent Travel Advice and Advisories updates and Urgent Travel Advice and Advisories updates;Reflète le total des mises à jour des conseils et avis aux voyageurs non urgents et des mises à jour des conseils et avis aux voyageurs urgents.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_1855
11204;2023-2024;1855;Travel Information Program;Programme de renseignements aux voyageurs;STAN00005687;Mandatory Cyclical Revisions;Révisions cycliques obligatoires;ACY;;ONL;;;;;49.0;55.0;0.8909;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_1855
11221;2023-2024;SRV02838;Public Enquiries Services;Services de renseignements au public;STAN00005203;Answer enquiries by email and voice messages within 5 business days;Répond à des demandes par courriel et messages vocaux dans les 5 jours ouvrables.;TML;;EML;;;;;19224.0;19224.0;1.0;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV02838
11235;2023-2024;SRV03126;Mission Readiness & Security Operations;Préparation des Missions et Opérations de Sécurité;8386;Mission Secuity Feedback (CCTV, Floorplan, etc.);Retour d'information sur la sécurité de mission (CCTV, plan d'étage, etc.;TML;;OTH;;;;;12.0;12.0;1.0;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03126
11257;2023-2024;SRV03219;Support the TCS clients (external) and the TCS Network (internal) with the Canadian Technology Accelerator applications (external) and assessments (internal);Accélérateurs technologiques canadiens - support aux clients du SDC (externe) et au réseau interne;STAN00005869;External: Selected and non-selected applicants will be notified no later than 5 weeks from the stated deadline. Non-selected applicants will receive written feedback with the reason(s) for their rejection. Internal: Assessment Forms templates  ready 48 hours after the closure of the recruitment period;Externe : Les candidats sélectionnés et non sélectionnés seront informés au plus tard 5 semaines après la date limite indiquée. Les candidats non sélectionnés recevront un retour d'information écrit indiquant la ou les raisons de leur rejet. Interne : Les modèles de formulaires d'évaluation sont prêts 48 heures après la clôture de la période de recrutement.;TML;;EML;;;;;600.0;600.0;1.0;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03219
11280;2023-2024;SRV02864;Employee Assistance Services;Services d’aide aux employés;STAN00005241;Provision of psycho-social trauma response services as per best practice (within 72 hours) but ultimately depending on the particulars of the situation (e.g. requiring travel to a remote locale might extend timelines);Fourniture de services d’intervention en cas de traumatisme psychosocial conformément à la meilleure pratique (dans les 72 heures) mais en fonction des particularités de la situation (par exemple, l’exigence de se rendre dans un lieu éloigné pourrait prolonger le délai);TML;;PERSON;Case by case basis.;Cas par cas;;;42.0;49.0;0.8571;;;;https://;https://;Not applicable;Not applicable;hc-sc;127.0;Health Canada;Santé Canada;2023-2024_127_SRV02864
11894;2023-2024;3606;Multi-Partner Research Initiative;Initiative de recherche multipartenaire;8608;Acknowledging receipt of proposal (5 business days);Accusé de réception de la proposition (5 jours ouvrables);TML;;EML;;;;;54.0;54.0;1.0;;;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3606
11895;2023-2024;3606;Multi-Partner Research Initiative;Initiative de recherche multipartenaire;8609;Providing funding decision (100 calendar days);Fournir une décision de financement (100 jours ouvrables);TML;;EML;;;;;21.0;21.0;1.0;;;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3606
11896;2023-2024;3606;Multi-Partner Research Initiative;Initiative de recherche multipartenaire;8610;Issuing payment (30 business days);Émission de paiement (30 jours ouvrables);TML;;EML;;;;;9.0;9.0;1.0;;;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3606
11996;2023-2024;1519;Earth Observation Data Service;Service de données d'observation de la Terre;5783;98% up time;98 % de temps de fonctionnement;OTH;;OTH;This service provides tailor-made support to its stakeholders  and external clients.;Ce service fournit un soutien sur mesure à ses parties prenantes et à ses clients externes.;;;71.0;71.0;1.0;;;;http://;http://;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_1519
12038;2023-2024;2550;Contributions Program of the Office of the Privacy Commissioner of Canada.;Programme des contributions du Commissariat à la protection de la vie privée du Canada.;5321;Advise applicants of our funding decisions within 90 business days of the close of a call for proposals.;Informer les candidats de nos décisions de financement dans les 90 jours ouvrables suivant la clôture d'un appel à propositions.;TML;;EML;All applications were received via email this year, although we also allow people to submit via mail or Fax.;Cette année, toutes les candidatures ont été reçues par courriel, mais nous offrons également la possibilité de les envoyer par courrier ou par télécopie.;;;61.0;68.0;0.8971;In most cases, we responded to organizations within the 90 business days. Due to a filing error, 7 applicants received a response outside of the standard.;Dans la plupart des cas, nous avons répondu aux organisations dans les 90 jours ouvrables. En raison d'une erreur de classement, 7 candidats ont reçu une réponse en dehors de la norme.;;https://www.priv.gc.ca/en/opc-actions-and-decisions/research/funding-for-privacy-research-and-knowledge-translation/;https://www.priv.gc.ca/fr/mesures-et-decisions-prises-par-le-commissariat/recherche/financement-pour-les-projets-de-recherche-et-d-application-des-connaissances/;Not applicable;Not applicable;opc-cpvp;256.0;Offices of the Information and Privacy Commissioners of Canada;Commissariats à l’information et à la protection de la vie privée du Canada;2023-2024_256_2550
12064;2023-2024;955;Townsite Management;Gestion des lotissements urbains;4001;"Business Licenses in National Parks Successful applicants will recieve their business license or a reason for its refusal within 15 working days of receipt of the application and all documents required. 

Overweight Vehicle Permits: Successful application will receive their permit or a reason for its denial within 48 hours.";"Les candidats retenus recevront leur permis d'exploitation ou un avis de refus dans les 15 jours ouvrables suivant la réception de la demande et de tous les documents requis. 

Permis pour véhicules en surpoids : Les candidats retenus recevront leur permis ou la raison de son refus dans les 48 heures.";TML;;EML;Met target 84% of time. Response times have been delayed as some field units has experienced high volumes of applications. Parks Canada has implemented a resolution and anticipates meeting the service standard in 2023-2024.;Objectif atteint 84 % du temps. Les délais de réponse ont été retardés car certaines unités de gestion ont reçu des volumes élevés de demandes. Parcs Canada a mis en œuvre une résolution et prévoit respecter la norme de service en 2023-2024.;;;2500.0;2100.0;1.1905;Met target 84% of time. Response times have been delayed as some field units has experienced high volumes of applications. Parks Canada has implemented a resolution and anticipates meeting the service standard in 2023-2024.;Objectif atteint 84 % du temps. Les délais de réponse ont été retardés car certaines unités de gestion ont reçu des volumes élevés de demandes. Parcs Canada a mis en œuvre une résolution et prévoit respecter la norme de service en 2023-2024.;;https://www.pc.gc.ca/en/agence-agency/dp-pd/ns-ss/ns-ss01;https://www.pc.gc.ca/en/agence-agency/dp-pd/ns-ss/ns-ss01;;;pc;263.0;Parks Canada;Parcs Canada;2023-2024_263_955
