;fiscal_yr;service_id;service_name_en;service_name_fr;service_standard_id;service_standard_en;service_standard_fr;type;gcss_tool_fiscal_yr;channel;channel_comments_en;channel_comments_fr;target_type;target;volume_meeting_target;total_volume;performance;comments_en;comments_fr;target_met;standards_targets_uri_en;standards_targets_uri_fr;performance_results_uri_en;performance_results_uri_fr;org_name_variant;org_id;department_en;department_fr;fy_org_id_service_id
11244;2023-2024;SRV03156;Application for a certificate - Mistaken identity;Demande d'attestation -  erreur d'identité;8500;SEMA Regulations require that the Minister arrive at a decision on applications for certificates in the case of mistaken identity within 30 days from the date on which the application was received.;Les règlements de la SEMA exigent que le ministre rende une décision sur les demandes de certificats en cas d'erreur d'identité dans les 30 jours à compter de la date de réception de la demande.;TML;;EML;;;;;0.0;0.0;;No application for this fiscal year.;Pas d'application pour cet exercice.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03156
11888;2023-2024;2617;Industry Energy Management Programs;Programmes de gestion de l'énergie industrielle;5960;Acknowledging receipt of proposal (5 business days);Accusé de réception de la proposition (5 jours ouvrables);TML;;ONL;;;;;0.0;0.0;;Percentage of outcome numbers not provided;Pourcentage de résultats non communiqués;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2617
11889;2023-2024;2617;Industry Energy Management Programs;Programmes de gestion de l'énergie industrielle;5961;Providing funding decision (105 calendar days);Fournir une décision de financement (105 jours civils);TML;;ONL;;;;;0.0;0.0;;Percentage of outcome numbers not provided;Pourcentage de résultats non communiqués;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2617
11890;2023-2024;2617;Industry Energy Management Programs;Programmes de gestion de l'énergie industrielle;5962;Issuing payment (30 business days);Émission de paiement (30 jours ouvrables);TML;;ONL;;;;;0.0;0.0;;Percentage of outcome numbers not provided;Pourcentage de résultats non communiqués;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2617
11891;2023-2024;2914;Canada Greener Homes Initiative;Initiative canadienne pour des maisons plus vertes;5957;Acknowledging receipt of proposal (5 business days);Accusé de réception de la proposition (5 jours ouvrables);TML;;ONL;;;;;0.0;0.0;;percentage of outcome numbers not provided;Pourcentage de résultats non communiqués;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2914
11892;2023-2024;2914;Canada Greener Homes Initiative;Initiative canadienne pour des maisons plus vertes;5958;Providing funding decision (105 calendar days);Fournir une décision de financement (105 jours civils);TML;;ONL;;;;;0.0;0.0;;percentage of outcome numbers not provided;Pourcentage de résultats non communiqués;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2914
11893;2023-2024;2914;Canada Greener Homes Initiative;Initiative canadienne pour des maisons plus vertes;5959;Issuing payment (30 business days);Émission de paiement (30 jours ouvrables);TML;;ONL;;;;;0.0;0.0;;percentage of outcome numbers not provided;Pourcentage de résultats non communiqués;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2914
11920;2023-2024;3613;Enabling Small Modular Reactor Program;Programme facilitant les petits réacteurs modulaires;4017;Issuing payment (30 business days);Émission de paiement (30 jours ouvrables);TML;;EML;No payments issued in 2023-24;Aucun paiement émis en 2023-24;;;0.0;0.0;;No payments issued in 2023-24;Aucun paiement émis en 2023-24;;https://natural-resources.canada.ca/transparency/reporting-and-accountability/plans-and-performance-reports/natural-resources-canadas-service-standards-for-transfer-payment-programs/22265;https://ressources-naturelles.canada.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/normes-de-service-pour-les-programmes-de-paiement-de-transfert-propre-au-ministere-de/22266?_gl=1*rot7tl*_ga*MTc0MDI4NTAyMi4xNjc2NTYwOTk4*_ga_C2N57Y7DX5*MTczMDI5MjgyOS4xNDguMS4xNzMwMjkzNjg2LjAuMC4w;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3613
11942;2023-2024;3242;SmartDriver;Conducteur averti;5856;Acknowledge receipt of general inquiries as soon as possible and no later than 3 business days.;ccuser réception des demandes générales le plus rapidement possible, sans dépasser 3 jours ouvrables.;TML;;EML;;;;;0.0;0.0;;Volume not provided;Volume non communiqué;;https://natural-resources.canada.ca/energy-efficiency/transportation-alternative-fuels/greening-freight-programs/smartdriver-training-series/21048;https://ressources-naturelles.canada.ca/efficacite-energetique/efficacite-energetique-transports-carburants-remplacement/programme-transport-ecoenergetique-marchandises/serie-de-formations-conducteur-averti/21049?_gl=1*1k59g4a*_ga*OTgzNzQxMDIuMTY3MzYzMzYxMw..*_ga_C2N57Y7DX5*MTczMTUyOTQ1OS40Ni4xLjE3MzE1Mjk4NDMuMC4wLjA.;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3242
11943;2023-2024;3242;SmartDriver;Conducteur averti;5857;Reply to general inquiries and SmartDriver technical questions as soon as possible and no later than 5 business days;Répondre aux demandes générales  et  aux questions techniques relatives à Conducteur averti le plus rapidement possible, sans dépasser 5 jours ouvrables.;TML;;EML;;;;;0.0;0.0;;Volume not provided;Volume non communiqué;;https://natural-resources.canada.ca/energy-efficiency/transportation-alternative-fuels/greening-freight-programs/smartdriver-training-series/21048;https://ressources-naturelles.canada.ca/efficacite-energetique/efficacite-energetique-transports-carburants-remplacement/programme-transport-ecoenergetique-marchandises/serie-de-formations-conducteur-averti/21049?_gl=1*1k59g4a*_ga*OTgzNzQxMDIuMTY3MzYzMzYxMw..*_ga_C2N57Y7DX5*MTczMTUyOTQ1OS40Ni4xLjE3MzE1Mjk4NDMuMC4wLjA.;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_3242
