;fiscal_yr;service_id;service_name_en;service_name_fr;service_standard_id;service_standard_en;service_standard_fr;type;gcss_tool_fiscal_yr;channel;channel_comments_en;channel_comments_fr;target_type;target;volume_meeting_target;total_volume;performance;comments_en;comments_fr;target_met;standards_targets_uri_en;standards_targets_uri_fr;performance_results_uri_en;performance_results_uri_fr;org_name_variant;org_id;department_en;department_fr;fy_org_id_service_id
10427;2023-2024;SRV03054;African Swine Fever Industry Preparedness Program: Prevention and Preparedness Stream;Programme de préparation de l’industrie à la peste porcine africaine : Volet Prévention et préparation;5583;Send you an approval or a rejection notification letter within 100 business days of receiving a fully complete applicant package;Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet;TML;;EML;;;;0.8;23.0;23.0;1.0;;;Y;https://agriculture.canada.ca/en/programs/african-swine-fever-industry-preparedness-prevention-stream/step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes/preparation-lindustrie-peste-porcine-africaine-volet-prevention/etape-4-apres-avoir-presente-votre-demande;https://agriculture.canada.ca/en/agricultural-programs-and-services/african-swine-fever-industry-preparedness-program-prevention-and-preparedness-stream/step-3-how-to-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-preparation-lindustrie-peste-porcine-africaine-volet-prevention-preparation/etape-3-comment-presenter-une-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV03054
10428;2023-2024;SRV03054;African Swine Fever Industry Preparedness Program: Prevention and Preparedness Stream;Programme de préparation de l’industrie à la peste porcine africaine : Volet Prévention et préparation;5584;Send you a payment within 30 business days of receipt of a duly completed and documented claim;Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée;TML;;ONL;;;;0.8;6.0;6.0;1.0;;;Y;https://agriculture.canada.ca/en/programs/african-swine-fever-industry-preparedness-prevention-stream/step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes/preparation-lindustrie-peste-porcine-africaine-volet-prevention/etape-4-apres-avoir-presente-votre-demande;https://agriculture.canada.ca/en/agricultural-programs-and-services/african-swine-fever-industry-preparedness-program-prevention-and-preparedness-stream/step-3-how-to-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-preparation-lindustrie-peste-porcine-africaine-volet-prevention-preparation/etape-3-comment-presenter-une-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV03054
10429;2023-2024;SRV03055;African Swine Fever Industry Preparedness Program: Welfare Slaughter and Disposal Stream;Programme de préparation de l’industrie à la peste porcine africaine : Volet Abattage par compassion et élimination;5585;Respond to general inquiries made to our email address  before the end of the next business day;Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant;TML;;EML;;;;0.8;10.0;12.0;0.8333;;;Y;https://agriculture.canada.ca/en/programs/african-swine-fever-industry-preparedness-welfare-slaughter-disposal-stream/step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes/preparation-lindustrie-peste-porcine-africaine-volet-abattage-compassion-elimination/etape-4-apres-avoir-presente-votre-demande;https://agriculture.canada.ca/en/agricultural-programs-and-services/african-swine-fever-industry-preparedness-program-welfare-slaughter-and-disposal-stream/step-3-how-to-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-preparation-lindustrie-peste-porcine-africaine-volet-abattage-compassion-elimination/etape-3-comment-presenter-une-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV03055
10430;2023-2024;SRV03055;African Swine Fever Industry Preparedness Program: Welfare Slaughter and Disposal Stream;Programme de préparation de l’industrie à la peste porcine africaine : Volet Abattage par compassion et élimination;5587;Send you an approval or a rejection notification letter within 100 business days of receiving a fully complete applicant package;Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet;TML;;EML;;;;0.8;24.0;25.0;0.96;;;Y;https://agriculture.canada.ca/en/programs/african-swine-fever-industry-preparedness-welfare-slaughter-disposal-stream/step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes/preparation-lindustrie-peste-porcine-africaine-volet-abattage-compassion-elimination/etape-4-apres-avoir-presente-votre-demande;https://agriculture.canada.ca/en/agricultural-programs-and-services/african-swine-fever-industry-preparedness-program-welfare-slaughter-and-disposal-stream/step-3-how-to-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-preparation-lindustrie-peste-porcine-africaine-volet-abattage-compassion-elimination/etape-3-comment-presenter-une-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV03055
10431;2023-2024;SRV03055;African Swine Fever Industry Preparedness Program: Welfare Slaughter and Disposal Stream;Programme de préparation de l’industrie à la peste porcine africaine : Volet Abattage par compassion et élimination;5588;Send you a payment within 30 business days of receipt of a duly completed and documented claim;Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée;TML;;ONL;;;;0.8;4.0;4.0;1.0;;;Y;https://agriculture.canada.ca/en/programs/african-swine-fever-industry-preparedness-welfare-slaughter-disposal-stream/step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes/preparation-lindustrie-peste-porcine-africaine-volet-abattage-compassion-elimination/etape-4-apres-avoir-presente-votre-demande;https://agriculture.canada.ca/en/agricultural-programs-and-services/african-swine-fever-industry-preparedness-program-welfare-slaughter-and-disposal-stream/step-3-how-to-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-preparation-lindustrie-peste-porcine-africaine-volet-abattage-compassion-elimination/etape-3-comment-presenter-une-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV03055
10439;2023-2024;SRV03056;AgriCommunication;Programme Agri-communication;5590;Send you an approval or a rejection notification letter within 100 business days of receiving a fully complete applicant package;Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet;TML;;EML;;;;0.8;7.0;7.0;1.0;;;Y;https://agriculture.canada.ca/en/programs/agricommunication/step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes/agri-communication/etape-4-apres-avoir-presente-votre-demande;https://agriculture.canada.ca/en/programs/agricommunication/step-3-how-apply;https://agriculture.canada.ca/fr/programmes/agri-communication/etape-3-comment-presenter-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV03056
10448;2023-2024;SRV03057;Agricultural Clean Technology:Research and Innovation Stream;Programme des technologies propres en agriculture : Volet Recherche et innovation;5592;Send you a payment within 30 business days of receipt of a duly completed and documented claim;Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée;TML;;ONL;;;;0.8;23.0;32.0;0.7188;;;N;https://agriculture.canada.ca/en/programs/agricultural-clean-technology-research-innovation-stream/step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes/technologies-propres-agriculture-volet-recherche-innovation/etape-4-apres-avoir-presente-votre-demande;https://agriculture.canada.ca/en/programs/agricultural-clean-technology-research-innovation-stream/step-3-how-apply;https://agriculture.canada.ca/fr/programmes/technologies-propres-agriculture-volet-recherche-innovation/etape-3-comment-presenter-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_SRV03057
10449;2023-2024;2223;Agriculture Climate Solutions;Solutions agricoles pour le climat;5048;Send an approval or a rejection notification letter within 70 business days of the close of the application process;Vous adresser une lettre d'avis d'approbation ou de rejet dans les 70 jours ouvrables suivant la réception du dossier de demande complet;TML;;EML;;;;0.8;7.0;7.0;1.0;;;Y;https://agriculture.canada.ca/en/agricultural-programs-and-services/agricultural-climate-solutions-program-living-labs-step-1-what-program-offers/step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/solutions-agricoles-climat-etape-1-ce-quoffre-ce-programme/etape-4-apres-avoir-presente-votre-demande;https://agriculture.canada.ca/en/agricultural-programs-and-services/agricultural-climate-solutions-program-living-labs-step-1-what-program-offers/step-3-how-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/solutions-agricoles-climat-etape-1-ce-quoffre-ce-programme/etape-3-comment-presenter-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_2223
10450;2023-2024;2223;Agriculture Climate Solutions;Solutions agricoles pour le climat;5049;Send you a payment within 30 business days of receipt of a duly completed and documented claim;Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée;TML;;ONL;;;;0.8;20.0;22.0;0.9091;;;Y;https://agriculture.canada.ca/en/agricultural-programs-and-services/agricultural-climate-solutions-program-living-labs-step-1-what-program-offers/step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/solutions-agricoles-climat-etape-1-ce-quoffre-ce-programme/etape-4-apres-avoir-presente-votre-demande;https://agriculture.canada.ca/en/agricultural-programs-and-services/agricultural-climate-solutions-program-living-labs-step-1-what-program-offers/step-3-how-apply;https://agriculture.canada.ca/fr/programmes-services-agricoles/solutions-agricoles-climat-etape-1-ce-quoffre-ce-programme/etape-3-comment-presenter-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_2223
10462;2023-2024;134;AgriStability;Agri-stabilité;457;Percent of applications processed to the issuance of a Calculation of Program Benefits statement in 75 days or less;Pourcentage des demandes traitées avec émission d'un avis de dépôt en 75 jours ou moins;TML;;ONL;;;;0.75;4285.0;4773.0;0.8978;;;Y;https://agriculture.canada.ca/en/programs/agristability/step-4-after-you-apply;https://agriculture.canada.ca/fr/programmes/agri-stabilite/etape-4-apres-avoir-presente-votre-demande;https://agriculture.canada.ca/en/programs/agristability/step-3-how-apply;https://agriculture.canada.ca/fr/programmes/agri-stabilite/etape-3-comment-presenter-demande;aafc-aac;1.0;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;2023-2024_1_134
