;fiscal_yr;service_id;service_name_en;service_name_fr;service_standard_id;service_standard_en;service_standard_fr;type;gcss_tool_fiscal_yr;channel;channel_comments_en;channel_comments_fr;target_type;target;volume_meeting_target;total_volume;performance;comments_en;comments_fr;target_met;standards_targets_uri_en;standards_targets_uri_fr;performance_results_uri_en;performance_results_uri_fr;org_name_variant;org_id;department_en;department_fr;fy_org_id_service_id
11169;2023-2024;SRV02793;Meteorological Support for Environmental Emergency Response;Soutien météorologique pour les urgences environnementales;STAN00005148;The Environmental Emergency Response Section provides modeling to the Comprehensive Nuclear-Test-Ban Treaty Organization as a Regional Specialized Meteorological Center within 24 hours or less of receiving a request.;La Section de la réponse aux urgences environnementales fournit de la modélisation à l’Organisation du Traité d'interdiction complète des essais nucléaires en tant que Centre Météorologique Régional Spécialisé en 24 heures ou moins après avoir reçu une demande.;TML;;ONL;;;;;5.0;5.0;1.0;;;;https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html;https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html;http://;http://;ec;137.0;Environment and Climate Change Canada;Environnement et Changement climatique Canada;2023-2024_137_SRV02793
11170;2023-2024;SRV02793;Meteorological Support for Environmental Emergency Response;Soutien météorologique pour les urgences environnementales;STAN00005149;The Environmental Emergency Response Section provides modeling to the International Atomic Energy Agency and to the National Meteorological and Hydrological Services of World Meteorological Organization member countries in the Americas as a Regional Specialized Meteorological Centre;La Section de la réponse aux urgences environnementales fournit de la modélisation à l’Agence international de l’énergie atomique et aux Services météorologiques et hydrologiques nationaux des pays-membres de l’Organisation météorologique mondiale des Amériques en tant que Centre météorologique régional spécialisé pour des incidents nucléaires en 3 heures ou moins après avoir reçu une demande.;TML;;ONL;;;;;12.0;12.0;1.0;;;;https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html;https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html;http://;http://;ec;137.0;Environment and Climate Change Canada;Environnement et Changement climatique Canada;2023-2024_137_SRV02793
11171;2023-2024;SRV02793;Meteorological Support for Environmental Emergency Response;Soutien météorologique pour les urgences environnementales;STAN00005150;The Environmental Emergency Response Section provides modeling to World Meteorological Organization member countries as a Regional Specialized Meteorological Center for non-nuclear incidents (e.g. forest fires, industrial fires, chemical releases without fires) within 2 hours or less.;La Section de la réponse aux urgences environnementales fournit de la modélisation à des pays-membres de l’Organisation météorologique mondiale en tant que Centre météorologique régional spécialisé pour des incidents non nucléaires (p.ex. feux de forêts, incendies industriels, rejets chimiques sans incendie) en 2 heures ou moins après avoir reçu une demande.;TML;;ONL;;;;;3.0;3.0;1.0;;;;https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html;https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html;http://;http://;ec;137.0;Environment and Climate Change Canada;Environnement et Changement climatique Canada;2023-2024_137_SRV02793
11172;2023-2024;SRV02793;Meteorological Support for Environmental Emergency Response;Soutien météorologique pour les urgences environnementales;STAN00005151;The Environmental Emergency Response Section issues Volcanic Ash Advisories as the International Civil Aviation Organization designated Volcanic Ash Advisory Centre in Montreal, according to the established deadlines.;La Section de la réponse aux urgences environnementales émet des avis de cendres volcaniques en tant que Centre d'avis de cendres volcaniques de Montréal désigné par l’Organisation de l’aviation civile internationale, selon les délais établis.;TML;;ONL;;;;;2.0;3.0;0.6667;;;;https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html;https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html;http://;http://;ec;137.0;Environment and Climate Change Canada;Environnement et Changement climatique Canada;2023-2024_137_SRV02793
11202;2023-2024;1855;Travel Information Program;Programme de renseignements aux voyageurs;3959;Urgent Travel Advice and Advisories updates;Mises à jour urgentes des Conseils aux voyageurs et avertissements;TML;;ONL;;;;;4038.0;4038.0;1.0;Reflects the total of Non-urgent Travel Advice and Advisories updates and Urgent Travel Advice and Advisories updates;Reflète le total des mises à jour des conseils et avis aux voyageurs non urgents et des mises à jour des conseils et avis aux voyageurs urgents.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_1855
11203;2023-2024;1855;Travel Information Program;Programme de renseignements aux voyageurs;3960;Non-urgent Travel Advice and Advisories updates;Mises à jour non urgentes des Conseils aux voyageurs et avertissements;TML;;ONL;;;;;4038.0;4038.0;1.0;Reflects the total of Non-urgent Travel Advice and Advisories updates and Urgent Travel Advice and Advisories updates;Reflète le total des mises à jour des conseils et avis aux voyageurs non urgents et des mises à jour des conseils et avis aux voyageurs urgents.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_1855
11204;2023-2024;1855;Travel Information Program;Programme de renseignements aux voyageurs;STAN00005687;Mandatory Cyclical Revisions;Révisions cycliques obligatoires;ACY;;ONL;;;;;49.0;55.0;0.8909;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_1855
11220;2023-2024;1699;Authentication of documents;Authentification des documents;STAN00005274;Canada now is a party to the Apostille Convention, which simplifies the authentication process by removing the requirement for legalization for documents intended for use in other countries that are party to the convention. Documents authenticated by a Canadian competent authority will be issued an apostille certificate in the form of an “allonge,” which is a separate document that will be securely affixed to the underlying authenticated document.;Le Canada est désormais partie à la Convention Apostille, qui simplifie le processus d’authentification en supprimant l’exigence de légalisation des documents destinés à être utilisés dans d’autres pays parties à la convention. Les documents authentifiés par une autorité compétente canadienne recevront un certificat d’apostille sous forme d’ une « allonge », qui est un document distinct qui sera solidement apposé sur le document authentifié sous-jacent.;ACY;;POST;;;;;;20000.0;;;;;https://www.international.gc.ca/gac-amc/about-a_propos/services/authentication-authentification/step-etape-1.aspx?lang=eng#a6;https://www.international.gc.ca/gac-amc/about-a_propos/services/authentication-authentification/step-etape-1.aspx?lang=fra#a6;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_1699
11221;2023-2024;SRV02838;Public Enquiries Services;Services de renseignements au public;STAN00005203;Answer enquiries by email and voice messages within 5 business days;Répond à des demandes par courriel et messages vocaux dans les 5 jours ouvrables.;TML;;EML;;;;;19224.0;19224.0;1.0;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV02838
11235;2023-2024;SRV03126;Mission Readiness & Security Operations;Préparation des Missions et Opérations de Sécurité;8386;Mission Secuity Feedback (CCTV, Floorplan, etc.);Retour d'information sur la sécurité de mission (CCTV, plan d'étage, etc.;TML;;OTH;;;;;12.0;12.0;1.0;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03126
11236;2023-2024;SRV03151;Advice on Women Peace and Security;Conseils sur les femmes, la paix et la sécurité;8387;Not applicable: The nature of this service is based on engagement with skateholder. We provide recommendations on requests for engagement by stakeholders based on an established set of criteria.;Sans objet : La nature de ce service est basée sur l'engagement avec le détenteur de la patinoire. Nous fournissons des recommandations sur les demandes d'engagement des parties prenantes sur la base d'un ensemble de critères établis.;TML;;PERSON;;;;;;207.0;;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03151
11244;2023-2024;SRV03156;Application for a certificate - Mistaken identity;Demande d'attestation -  erreur d'identité;8500;SEMA Regulations require that the Minister arrive at a decision on applications for certificates in the case of mistaken identity within 30 days from the date on which the application was received.;Les règlements de la SEMA exigent que le ministre rende une décision sur les demandes de certificats en cas d'erreur d'identité dans les 30 jours à compter de la date de réception de la demande.;TML;;EML;;;;;0.0;0.0;;No application for this fiscal year.;Pas d'application pour cet exercice.;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03156
11245;2023-2024;SRV03158;Application to no longer be a designated person;Demande de radiation;8501;Arrive at a decision on a given delisting application within 90 days from the date on which the application was received.;Rende une décision sur une demande de radiation donnée dans les 90 jours suivant la date de réception de la demande.;TML;;EML;;;;;;29.0;;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03158
11257;2023-2024;SRV03219;Support the TCS clients (external) and the TCS Network (internal) with the Canadian Technology Accelerator applications (external) and assessments (internal);Accélérateurs technologiques canadiens - support aux clients du SDC (externe) et au réseau interne;STAN00005869;External: Selected and non-selected applicants will be notified no later than 5 weeks from the stated deadline. Non-selected applicants will receive written feedback with the reason(s) for their rejection. Internal: Assessment Forms templates  ready 48 hours after the closure of the recruitment period;Externe : Les candidats sélectionnés et non sélectionnés seront informés au plus tard 5 semaines après la date limite indiquée. Les candidats non sélectionnés recevront un retour d'information écrit indiquant la ou les raisons de leur rejet. Interne : Les modèles de formulaires d'évaluation sont prêts 48 heures après la clôture de la période de recrutement.;TML;;EML;;;;;600.0;600.0;1.0;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03219
11280;2023-2024;SRV02864;Employee Assistance Services;Services d’aide aux employés;STAN00005241;Provision of psycho-social trauma response services as per best practice (within 72 hours) but ultimately depending on the particulars of the situation (e.g. requiring travel to a remote locale might extend timelines);Fourniture de services d’intervention en cas de traumatisme psychosocial conformément à la meilleure pratique (dans les 72 heures) mais en fonction des particularités de la situation (par exemple, l’exigence de se rendre dans un lieu éloigné pourrait prolonger le délai);TML;;PERSON;Case by case basis.;Cas par cas;;;42.0;49.0;0.8571;;;;https://;https://;Not applicable;Not applicable;hc-sc;127.0;Health Canada;Santé Canada;2023-2024_127_SRV02864
11888;2023-2024;2617;Industry Energy Management Programs;Programmes de gestion de l'énergie industrielle;5960;Acknowledging receipt of proposal (5 business days);Accusé de réception de la proposition (5 jours ouvrables);TML;;ONL;;;;;0.0;0.0;;Percentage of outcome numbers not provided;Pourcentage de résultats non communiqués;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2617
11889;2023-2024;2617;Industry Energy Management Programs;Programmes de gestion de l'énergie industrielle;5961;Providing funding decision (105 calendar days);Fournir une décision de financement (105 jours civils);TML;;ONL;;;;;0.0;0.0;;Percentage of outcome numbers not provided;Pourcentage de résultats non communiqués;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2617
11890;2023-2024;2617;Industry Energy Management Programs;Programmes de gestion de l'énergie industrielle;5962;Issuing payment (30 business days);Émission de paiement (30 jours ouvrables);TML;;ONL;;;;;0.0;0.0;;Percentage of outcome numbers not provided;Pourcentage de résultats non communiqués;;https://www.nrcan.gc.ca/transparency/reporting-and-accountability/plans-and-performance-reports/service-standards-for-transfer-payment-programs/22265;https://www.rncan.gc.ca/transparence/rapports-et-responsabilisation/plans-et-rapports-sur-le-rendement/standards-de-service-pour-les-programmes-de-paiement-de-transfert-propre/22266;;;nrcan-rncan;134.0;Natural Resources Canada;Ressources naturelles Canada;2023-2024_134_2617
