,fiscal_yr,service_id,service_name_en,program_id,program_name_en,org_name_variant,org_id,department_en
7940,2023-2024,1698,Export and Import Permit Service,"BVC01,BVC02","'Trade Policy, Agreements, Negotiations and Disputes', 'Trade Controls'",dfatd-maecd,126,Global Affairs Canada
7941,2023-2024,1855,Travel Information Program,"BVE01,ISS02","'Consular Assistance and Services for Canadians Abroad', 'Communications Services'",dfatd-maecd,126,Global Affairs Canada
7947,2023-2024,1691,Grants and Contributions for International Assistance,"BVD03,BVD04,BVD09,BVD10,BVD11,BVD12,BVD13","'Partnerships for Development Innovation', 'Multilateral International Assistance', 'Europe, Arctic, Middle East and Maghreb International Assistance', 'Americas International Assistance', 'Asia Pacific International Assistance', 'Sub-Saharan Africa International Assistance', 'Grants and Contributions Policy and Operations'",dfatd-maecd,126,Global Affairs Canada
7949,2023-2024,1699,Authentication of documents,"BVE01,ISS03","'Consular Assistance and Services for Canadians Abroad', 'Legal Services'",dfatd-maecd,126,Global Affairs Canada
7955,2023-2024,SRV03151,Advice on Women Peace and Security,"BVB19,BVD05","'International Security Policy and Diplomacy', 'Peace and Stabilization Operations'",dfatd-maecd,126,Global Affairs Canada
7958,2023-2024,SRV03305,Military and Scientific Overflight Clearance request management,"BVB04,BVB10,BVB19,BVE02","'International Law', 'Geographic Coordination and Mission Support', 'International Security Policy and Diplomacy', 'Emergency Preparedness and Response'",dfatd-maecd,126,Global Affairs Canada
7959,2023-2024,SRV03311,Marine Scientific Research (MSR) request management,"BVB04,BVB10,BVB19","'International Law', 'Geographic Coordination and Mission Support', 'International Security Policy and Diplomacy'",dfatd-maecd,126,Global Affairs Canada
7960,2023-2024,SRV03365,Foreign military ship visit request management,"BVB04,BVB10,BVB19","'International Law', 'Geographic Coordination and Mission Support', 'International Security Policy and Diplomacy'",dfatd-maecd,126,Global Affairs Canada
7966,2023-2024,2528,Emergency Watch and Response,"BVE01,BVE02,BVF07","'Consular Assistance and Services for Canadians Abroad', 'Emergency Preparedness and Response', 'Mission Readiness and Security'",dfatd-maecd,126,Global Affairs Canada
7967,2023-2024,SRV03091,Enterprise Systems Support,"ISS06,ISS07","'Information Management Services', 'Information Technology Services'",dfatd-maecd,126,Global Affairs Canada
7969,2023-2024,SRV03370,Global Security Reporting Program (GSRP),"BVB19,BVF07","'International Security Policy and Diplomacy', 'Mission Readiness and Security'",dfatd-maecd,126,Global Affairs Canada
7975,2023-2024,SRV03197,Vetting,"BVC03,BVC05,BVC06,BVC07,BVC08,ISS02","'International Business Development', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade', 'Communications Services'",dfatd-maecd,126,Global Affairs Canada
7980,2023-2024,3740,Administration to the Canada Fund for Local Initiatives (CFLI),"BVB06,BVB07,BVB08,BVB09,BVD08,BVD13","'Europe, Arctic, Middle East and Maghreb Policy & Diplomacy', 'Americas Policy & Diplomacy', 'Asia Pacific Policy & Diplomacy', 'Sub-Saharan Africa Policy & Diplomacy', 'Canada Fund for Local Initiatives', 'Grants and Contributions Policy and Operations'",dfatd-maecd,126,Global Affairs Canada
7984,2023-2024,SRV03368,Geographic Advice,"BVB06,BVB07,BVB08,BVB09,BVC05,BVC06,BVC07,BVC08,BVD09,BVD10,BVD11,BVD12","'Europe, Arctic, Middle East and Maghreb Policy & Diplomacy', 'Americas Policy & Diplomacy', 'Asia Pacific Policy & Diplomacy', 'Sub-Saharan Africa Policy & Diplomacy', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade', 'Europe, Arctic, Middle East and Maghreb International Assistance', 'Americas International Assistance', 'Asia Pacific International Assistance', 'Sub-Saharan Africa International Assistance'",dfatd-maecd,126,Global Affairs Canada
7987,2023-2024,SRV03272,Corporate Governance,"BVC01,BVC02,BVC03,BVC04,BVC05,BVC06,BVC07,BVC08,ISS01,ISS02,ISS03,ISS04,ISS05,ISS06,ISS07,ISS08,ISS09,ISS0Z","'Trade Policy, Agreements, Negotiations and Disputes', 'Trade Controls', 'International Business Development', 'International Innovation and Investment', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade', 'Management and Oversight Services', 'Communications Services', 'Legal Services', 'Human Resources Management Services', 'Financial Management Services', 'Information Management Services', 'Information Technology Services', 'Real Property Management Services', 'Materiel Management Services', 'Acquisition Management Services'",dfatd-maecd,126,Global Affairs Canada
7989,2023-2024,SRV03066,Dispute resolution on Canadian business operations abroad,"BVC01,BVC02,BVC03,BVC04,BVC05,BVC06,BVC07,BVC08","'Trade Policy, Agreements, Negotiations and Disputes', 'Trade Controls', 'International Business Development', 'International Innovation and Investment', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade'",dfatd-maecd,126,Global Affairs Canada
7990,2023-2024,1690,Access to Information and Privacy,"BVC01,BVC02,BVC03,BVC04,BVC05,BVC06,BVC07,BVC08,ISS01","'Trade Policy, Agreements, Negotiations and Disputes', 'Trade Controls', 'International Business Development', 'International Innovation and Investment', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade', 'Management and Oversight Services'",dfatd-maecd,126,Global Affairs Canada
7991,2023-2024,SRV03164,Baseline Threat Assessments (BTAs),"BVC01,BVC02,BVC03,BVC04,BVC05,BVC06,BVC07,BVC08,ISS01,ISS02,ISS03,ISS04,ISS05,ISS06,ISS07,ISS08,ISS09,ISS0Z","'Trade Policy, Agreements, Negotiations and Disputes', 'Trade Controls', 'International Business Development', 'International Innovation and Investment', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade', 'Management and Oversight Services', 'Communications Services', 'Legal Services', 'Human Resources Management Services', 'Financial Management Services', 'Information Management Services', 'Information Technology Services', 'Real Property Management Services', 'Materiel Management Services', 'Acquisition Management Services'",dfatd-maecd,126,Global Affairs Canada
7992,2023-2024,SRV03095,Geographic Reporting,"BVC01,BVC02,BVC03,BVC04,BVC05,BVC06,BVC07,BVC08","'Trade Policy, Agreements, Negotiations and Disputes', 'Trade Controls', 'International Business Development', 'International Innovation and Investment', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade'",dfatd-maecd,126,Global Affairs Canada
7993,2023-2024,SRV03303,Ministerial Liaison,"BVC01,BVC02,BVC03,BVC04,BVC05,BVC06,BVC07,BVC08,ISS01,ISS02,ISS03,ISS04,ISS05,ISS06,ISS07,ISS08,ISS09,ISS0Z","'Trade Policy, Agreements, Negotiations and Disputes', 'Trade Controls', 'International Business Development', 'International Innovation and Investment', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade', 'Management and Oversight Services', 'Communications Services', 'Legal Services', 'Human Resources Management Services', 'Financial Management Services', 'Information Management Services', 'Information Technology Services', 'Real Property Management Services', 'Materiel Management Services', 'Acquisition Management Services'",dfatd-maecd,126,Global Affairs Canada
7994,2023-2024,1702,Parliamentary Affairs,"BVB01,BVB03,BVB04,BVB05,BVB06,BVB07,BVB08,BVB09,BVB10,BVC01,BVC02,BVC03,BVC04,BVC05,BVC06,BVC07,BVC08,BVD01,BVD02,BVD03,BVD04,BVD05,BVD06,BVD07,BVD08,BVD09,BVD10,BVD11,BVD12,BVD13,BVE01,BVE02,BVF01,BVF02,BVF03,BVF04,BVF05,BVF06,BVF07,BVF08,ISS01,ISS02,ISS03,ISS04,ISS05,ISS06,ISS07,ISS08,ISS09,ISS0Z","'International Policy Coordination', 'Multilateral Policy', 'International Law', 'The Office of Protocol', 'Europe, Arctic, Middle East and Maghreb Policy & Diplomacy', 'Americas Policy & Diplomacy', 'Asia Pacific Policy & Diplomacy', 'Sub-Saharan Africa Policy & Diplomacy', 'Geographic Coordination and Mission Support', 'Trade Policy, Agreements, Negotiations and Disputes', 'Trade Controls', 'International Business Development', 'International Innovation and Investment', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade', 'International Assistance Operations', 'Humanitarian Assistance', 'Partnerships for Development Innovation', 'Multilateral International Assistance', 'Peace and Stabilization Operations', 'Anti-Crime and Counter-Terrorism Capacity Building', 'Weapons Threat Reduction', 'Canada Fund for Local Initiatives', 'Europe, Arctic, Middle East and Maghreb International Assistance', 'Americas International Assistance', 'Asia Pacific International Assistance', 'Sub-Saharan Africa International Assistance', 'Grants and Contributions Policy and Operations', 'Consular Assistance and Services for Canadians Abroad', 'Emergency Preparedness and Response', 'Platform Corporate Services', 'Foreign Service Directives', 'Client Relations and Mission Operations', 'Locally Engaged Staff Services', 'Real Property Planning and Stewardship', 'Real Property Project Delivery, Professional and Technical Services', 'Mission Readiness and Security', 'Mission Network IM/IT', 'Management and Oversight Services', 'Communications Services', 'Legal Services', 'Human Resources Management Services', 'Financial Management Services', 'Information Management Services', 'Information Technology Services', 'Real Property Management Services', 'Materiel Management Services', 'Acquisition Management Services'",dfatd-maecd,126,Global Affairs Canada
7995,2023-2024,SRV03072,"Advice to Canadian garment, mining and oil & gas companies operating outside Canada","BVC01,BVC02,BVC03,BVC04,BVC05,BVC06,BVC07,BVC08","'Trade Policy, Agreements, Negotiations and Disputes', 'Trade Controls', 'International Business Development', 'International Innovation and Investment', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade'",dfatd-maecd,126,Global Affairs Canada
7996,2023-2024,SRV03339,Evaluation Publications,"BVC01,BVC02,BVC03,BVC04,BVC05,BVC06,BVC07,BVC08,ISS01,ISS02,ISS03,ISS04,ISS05,ISS06,ISS07,ISS08,ISS09,ISS0Z","'Trade Policy, Agreements, Negotiations and Disputes', 'Trade Controls', 'International Business Development', 'International Innovation and Investment', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade', 'Management and Oversight Services', 'Communications Services', 'Legal Services', 'Human Resources Management Services', 'Financial Management Services', 'Information Management Services', 'Information Technology Services', 'Real Property Management Services', 'Materiel Management Services', 'Acquisition Management Services'",dfatd-maecd,126,Global Affairs Canada
7997,2023-2024,SRV03256,Providing statistical analysis and reports (CFO-Stats),"BVC01,BVC02,BVC03,BVC04,BVC05,BVC06,BVC07,BVC08,ISS01,ISS02,ISS03,ISS04,ISS05,ISS06,ISS07,ISS08,ISS09,ISS0Z","'Trade Policy, Agreements, Negotiations and Disputes', 'Trade Controls', 'International Business Development', 'International Innovation and Investment', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade', 'Management and Oversight Services', 'Communications Services', 'Legal Services', 'Human Resources Management Services', 'Financial Management Services', 'Information Management Services', 'Information Technology Services', 'Real Property Management Services', 'Materiel Management Services', 'Acquisition Management Services'",dfatd-maecd,126,Global Affairs Canada
7998,2023-2024,SRV03204,"Training: Governance, Access, Technical Security and Espionage (GATE)","BVC01,BVC02,BVC03,BVC04,BVC05,BVC06,BVC07,BVC08,ISS01,ISS02,ISS03,ISS04,ISS05,ISS06,ISS07,ISS08,ISS09,ISS0Z","'Trade Policy, Agreements, Negotiations and Disputes', 'Trade Controls', 'International Business Development', 'International Innovation and Investment', 'Europe, Arctic, Middle East and Maghreb Trade', 'Americas Trade', 'Asia Pacific Trade', 'Sub-Saharan Africa Trade', 'Management and Oversight Services', 'Communications Services', 'Legal Services', 'Human Resources Management Services', 'Financial Management Services', 'Information Management Services', 'Information Technology Services', 'Real Property Management Services', 'Materiel Management Services', 'Acquisition Management Services'",dfatd-maecd,126,Global Affairs Canada
8004,2023-2024,1694,Results Based Management (RBM) resources (center of excellence),"BVD03,BVD04,BVD05,BVD09,BVD10,BVD11,BVD12,BVD13","'Partnerships for Development Innovation', 'Multilateral International Assistance', 'Peace and Stabilization Operations', 'Europe, Arctic, Middle East and Maghreb International Assistance', 'Americas International Assistance', 'Asia Pacific International Assistance', 'Sub-Saharan Africa International Assistance', 'Grants and Contributions Policy and Operations'",dfatd-maecd,126,Global Affairs Canada
8009,2023-2024,SRV03200,Chemical Weapons Convention Implementation Act (CWCIA) administration,"BVB03,BVB04,BVB19,BVC02","'Multilateral Policy', 'International Law', 'International Security Policy and Diplomacy', 'Trade Controls'",dfatd-maecd,126,Global Affairs Canada
