,fiscal_yr,service_id,service_name_en,service_name_fr,service_description_en,service_description_fr,service_type,service_recipient_type,service_scope,client_target_groups,program_name_en,program_name_fr,client_feedback_channel,service_fee,os_account_registration,os_authentication,os_application,os_decision,os_issuance,os_issue_resolution_feedback,os_comments_client_interaction_en,os_comments_client_interaction_fr,last_service_review,last_service_improvement,sin_usage,cra_bn_identifier_usage,num_phone_enquiries,num_applications_by_phone,num_website_visits,num_applications_online,num_applications_in_person,num_applications_by_mail,num_applications_by_email,num_applications_by_fax,num_applications_by_other,special_remarks_en,special_remarks_fr,service_uri_en,service_uri_fr,num_applications_total,org_name_variant,org_id,department_en,department_fr,program_id,automated_decision_system_description_fr,automated_decision_system,automated_decision_system_description_en,service_scope_ext_or_ent,fy_org_id_service_id,planned_spending_2024-25,planned_spending_2025-26,planned_spending_2026-27
0,2023-2024,3596,ATSSC General Inquiries,Demandes générales SCDATA,"The ATSSC hotline is a voice message inbox that is available to the public and members of media organizations. It can store up to 5 new messages. Additionally, there is a general inquiry email address.","The ATSSC hotline is a voice message inbox that is available to the public and members of media organizations. It can store up to 5 new messages. Additionally, there is a general inquiry email address.",INFO,SOCIETY,EXTERN,PERSON,'Communications Services','Services de communication',"EML, TEL",N,N,N,N,N,N,N,This service is not e-enabled,Ce service n'est pas accessible en ligne.,2022-2023,,N,N,50,,2556,,,,,,,ATSSC General Inquiries does not accept applications. We only take note of questions that are relevant to the mandate of the ATSSC.,Demandes générales SCDATA n'accepte pas des applications. On prend note seulement des questions qui sont pertinent au mandat du SCDATA.,https://www.canada.ca/en/administrative-tribunals-support-service/contact.html,https://www.canada.ca/fr/service-canadien-appui-tribunaux- administratifs/coordonnees.html,0.0,atssc-scdata,539.0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,ISSA2,,N,,True,2023-2024_539_3596,0.0,0.0,0.0
2,2023-2024,3598,Access to Information and Privacy,Accès à l’information et protection des renseignements personnels,"The Access to Information Act gives Canadian citizens, permanent residents, and any person or corporation present in Canada a right to access records of government institutions that are subject to the Act. The Privacy Act gives Canadian citizens, permanent residents, and individuals present in Canada the right to access their personal information held by government institutions that are subject to the Act, and protects that information against unauthorized collection, use, retention and disclosure.","La Loi sur l’accès à l’information accorde aux citoyens canadiens, aux résidents permanents et à toute personne ou société présents au Canada un droit d’accès aux documents des institutions fédérales assujetties à la Loi.La Loi sur la protection des renseignements personnels donne aux citoyens canadiens, aux résidents permanents et aux personnes présentes au Canada le droit d’accéder à leurs renseignements personnels détenus par les institutions gouvernementales assujetties à la Loi, et protège ces renseignements contre la collecte, l’utilisation, la conservation et la divulgation non autorisées.",INFO,SOCIETY,EXTERN,PERSON,'Communications Services','Services de communication',"EML, FAX, ONL, POST",Y,Y,N,Y,N,N,N,,,2022-2023,,N,N,,,,15,,2,1,,,,,https://www.canada.ca/en/administrative-tribunals-support-service/contact.html,https://www.canada.ca/fr/service-canadien-appui-tribunaux-administratifs/coordonnees.html,18.0,atssc-scdata,539.0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,ISS02,,N,,True,2023-2024_539_3598,0.0,0.0,0.0
83,2023-2024,851,Grant and contribution programs,Programmes de subventions et contributions,"CED delivers grant and contribution programs that primarily target small and medium-sized businesses (SMEs) and economic non-profit organizations (NPOs). We support projects targeting entrepreneurial growth, innovation, diversification and local economic development. The three main programs through which we deliver our various measures are: the Regional Economic Growth through Innovation (REGI) program, the Quebec Economic Development Program (QEDP) and the Community Futures Program (CFP). CED is also called upon to deliver temporary initiatives from time to time.","DEC livre des programmes de subventions et contributions, principalement auprès de petites et moyennes entreprises (PME) et d'organismes à but non lucratif (OBNL) à vocation économique. Nous soutenons des projets de croissance entrepreneuriale, d'innovation, de diversification et de développement économique local. Le programme Croissance économique régionale par l'innovation (CERI), le Programme de développement économique du Québec (PDEQ) et le Programme de développement des collectivités (PDC) sont les trois grands programmes qui regroupent les diverses mesyres d'aide financière que nous offrons. DEC est également appelé à livrer des initiatives ponctuelles à l'occasion.",GNC,CLIENT,EXTERN,"ECONOM, NGO, PTC","'Business innovation and growth', 'Vitality of communities', 'Targeted or temporary support', 'Regional Innovation'","'Innovation et croissance des entreprises', 'Vitalité des collectivités', 'Soutien ponctuel ou ciblé', 'Innovation régionale'","ONL, PERSON",N,N,N,Y,N,N,,,S/O,2022-2023,,,N,1859,0,74000,0,0,0,517,0,0,"1859 inquiries were handled during the 2023-2024 year. Of those, 854 were                  answered by telephone, 607 by email and 398 by in-person meetings.

In October 2023, the Business Information Services was created to offer first-level  services to businesses (see the following indicator). Methodology to measure volumetry was modified accordingly based on date of the interaction, belonging to work unit, type and objective of the interaction.","1859 demandes de renseignements ont été traitées au cours de l'année 2023-2024. De ce nombre, 854 ont été répondues par téléphone, 607 par courriel et 398 lors de rencontres avec des clients.

En octobre 2023, le Service d'information aux entreprises a été mis sur pied (voir autre indicateur). La méthodologie pour mesurer la volumétrie a été ajustée en conséquence. La date de l'interaction, l'appartenance à l'unité de travail, le type et l'objectif de l'interaction ont ainsi été pris en considération pour quantifier les requêtes.",https://dec.canada.ca/eng/programs/index.html,https://dec.canada.ca/fra/programmes/index.html,517.0,ced-dec,141.0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,"BLL01,BLL02,BLL03,BLL04",,N,,True,2023-2024_141_851,293604291.0,287612733.0,192652361.0
84,2023-2024,3585,Business Information Services,Services d'information aux entreprises,"CED provides information services to future entrepreneurs and small businesses to support their development. These services include front-line referrals to programs, support resources, regulations and market information on trends and business opportunities.","DEC offre des services d'information aux futurs entrepreneurs et petites entreprises pour les appuyer dans leur développement. Ces services incluent de l'aiguillage de première ligne sur les renseignements de programmes, les ressources de soutien, la réglementation ainsi que de l'information de marché sur les tendances et les opportunités d'affaires.",INFO,CLIENT,EXTERN,"ECONOM, NGO, PTC","'Business innovation and growth', 'Vitality of communities', 'Targeted or temporary support', 'Regional Innovation'","'Innovation et croissance des entreprises', 'Vitalité des collectivités', 'Soutien ponctuel ou ciblé', 'Innovation régionale'","EML, ONL, POST, TEL",N,,,Y,,,,Requests for referrals and market information can be submitted online via a request form.,Les requêtes d'aiguillage et d'information de marché peuvent être transmises en ligne à partir d'un formulaire de demande.,2023-2024,2023-2024,N,N,1487,,4623,2023,0,0,147,,,"Online requests for information are transmitted via GC forms, which may include more than one service.",Les demandes d'information en ligne sont transmises à partir de formulaires GC qui peuvent inclure plus d'un service.,https://ced.canada.ca/en/business-information-services/,https://dec.canada.ca/fr/services-dinformation-aux-entreprises/,2170.0,ced-dec,141.0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,"BLL01,BLL02,BLL03,BLL04",N: No,N,N: No,True,2023-2024_141_3585,293604291.0,287612733.0,192652361.0
85,2023-2024,849,Media Relations,Relations médias,CED responds to media inquiries.,DEC répond aux demandes d'information des médias.,INFO,CLIENT,EXTERN,"ECONOM, NGO",'Communications Services','Services de communication',NON,N,,,N,,,,Media responses do not generate any formal feedback from the media.,Les réponses fournies aux médias ne donnent lieu à aucune rétroaction formelle de la part de ceux-ci.,2022-2023,,,N,0,0,ND,ND,0,,47,,0,Media inquiries can only be submitted to CED by email or phone (not online or through the website).,DEC peut recevoir des médias par téléphone ou par courriel seulement (pas par le site web).,https://ced.canada.ca/en/newsroom/,https://dec.canada.ca/fr/salle-de-nouvelles/,47.0,ced-dec,141.0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,ISS02,,N,,True,2023-2024_141_849,0.0,0.0,0.0
86,2023-2024,315,Access to Information Requests,Accès à l'information,"The Canada Energy Regulator’s response to information requests made under the Access to Information Act that gives the Canadian public a right to access information contained in federal government records, subject to certain specific and limited exceptions.","La réponse de la Régie de l’énergie du Canada aux demandes des renseignements au sujet de la Loi sur l’accès à l’information qui accorde au public canadien un droit d’accès à l’information contenue dans les documents du gouvernement fédéral, sous réserve de certaines exceptions particulières et limitées.",INFO,SOCIETY,EXTERN,PERSON,'Information Management Services',"""Services de gestion de l'information""","EML, FAX, ONL, PERSON, TEL",Y,N,Y,Y,N,N,N,Feedback can be received by different channels.,Commentaires peuvent être reçus par différents moyennes de communication.,2023-2024,2023-2024,,,0,0,0,24,0,0,0,0,0,,,https://www.cer-rec.gc.ca/en/about/who-we-are-what-we-do/cer-time-limits-and-service-standards.html,https://www.cer-rec.gc.ca/fr/regie/nous-sommes-nous-faisons/delais-et-normes-de-service-de-la-regie.html,24.0,cer-rec,221.0,Canada Energy Regulator,Régie de l'énergie du Canada,ISS06,,N,,True,2023-2024_221_315,0.0,0.0,0.0
96,2023-2024,309,Processing Participant Funding Requests,Traitement des demandes d'aide financière aux participants,"The Commission’s decision on requests for Participant Funding to facilitate the participation of the public, the Indigenous Peoples of Canada and Indigenous organizations in public hearings under section 183 of the Canadian Energy Regulator Act.","La décision de la Commission sur les demandes d'aide financière aux participants pour faciliter la participation du public, des peuples autochtones du Canada et des organisations autochtones aux audiences publiques en vertu de l'article 183 de la Loi sur la réglementation canadienne de l'énergie.",GNC,SOCIETY,EXTERN,NGO,'Participant Funding','Aide financière aux participants',"EML, FAX, ONL, PERSON, POST, TEL",N,N,N,Y,,,N,Feedback can be received by different channels.,Commentaires peuvent être reçus par différents moyennes de communication.,2023-2024,2023-2024,N,N,0,0,0,149,0,0,0,0,0,,,https://www.cer-rec.gc.ca/en/about/who-we-are-what-we-do/cer-time-limits-and-service-standards.html,https://www.cer-rec.gc.ca/fr/regie/nous-sommes-nous-faisons/delais-et-normes-de-service-de-la-regie.html,149.0,cer-rec,221.0,Canada Energy Regulator,Régie de l'énergie du Canada,BXY02,,N,,True,2023-2024_221_309,0.0,0.0,0.0
97,2023-2024,314,Responding to Library Requests,Demandes à la bibliothèque,"The Canada Energy Regulator's response to Library requests made by the public for a range of services including consultation on regulatory documents, copies of publications, as well as referrals to internal and external sources of information.","La réponse de la Régie de l’énergie du Canada aux demandes du public à la bibliothèque au sujet de consultation des documents réglementaires, distribution d’exemplaires des publications de la Régie et l’aiguillage vers des sources d’information internes et externes.",INFO,SOCIETY,EXTERN,PERSON,'Information Management Services',"""Services de gestion de l'information""","EML, FAX, ONL, OTH, PERSON, TEL",N,N,N,N,N,N,N,Feedback can be received by different channels.,Commentaires peuvent être reçus par différents moyennes de communication.,2023-2024,2023-2024,,,6,6,0,0,9,0,980,0,0,,,https://www.cer-rec.gc.ca/en/about/who-we-are-what-we-do/cer-time-limits-and-service-standards.html<>https://www.cer-rec.gc.ca/en/about/publications-reports/departmental-results-reports/2020-2021/fiscal-year-2020-2021-service-standards-results.html,https://www.cer-rec.gc.ca/fr/regie/nous-sommes-nous-faisons/delais-et-normes-de-service-de-la-regie.html<>https://www.cer-rec.gc.ca/fr/regie/publications-rapports/rapport-resultats-ministeriels/2020-2021/resultats-relatifs-aux-normes-de-service-pour-lexercice-2020-2021.html,995.0,cer-rec,221.0,Canada Energy Regulator,Régie de l'énergie du Canada,ISSA6,,N,,True,2023-2024_221_314,0.0,0.0,0.0
127,2023-2024,3726,Liaison Officer Service,Service d'agents de liaison,"The CRA offers free, personalized support to small businesses and self-employed individuals to help them understand their tax obligations. This support is offered in-person or virtually through one-on-one visits and through group seminars.",L'ARC offre un soutien gratuit et personnalisé aux petites entreprises et aux travailleurs autonomes pour les aider à comprendre leurs obligations fiscales. Ce soutien est offert en personne ou virtuellement sous forme de visites individuelles et de séminaires de groupe.,RES,CLIENT,EXTERN,"ECONOM, PERSON",'Domestic Compliance','Observation nationale',"EML, FAX, ONL, PERSON, POST, TEL",N,,,Y,N,N,Y,"Authentication/Account registration: Taxpayers can request the service through the online request form - this form is anonymous and does not interact with source systems and is available to the public outside of secure portals. No authentication occurs; no unique identifiers are requested or required. The service is available online (videoconference), over the phone and in-person.","Authentification/Inscription: les contribuables peuvent demander le service via le formulaire de demande en ligne. Ce formulaire est anonyme, n'interagit pas avec les systèmes sources et est accessible au public en dehors des portails sécurisés. Aucune authentification n'a lieu ; aucun identifiant unique n’est demandé ou requis. Le service est disponible en ligne (par videoconference), par telephone ou en personne.",,2020-2021,Y,Y,0,0,78442,14836,0,0,0,0,0,"The program offers in-person services,  however these were not offered last year due to COVID-19. 
The program does not track application received by officers by phone or by mail.","Le programme offre des services en personne; cependant ceux-ci n'étaient pas offerts à cause de la COVID-19.
Le programme ne fait pas de suivi des demandes reçues par téléphone ou par courriel par les agents.",https://www.canada.ca/en/revenue-agency/programs/about-canada-revenue-agency-cra/compliance/liaison-officer-initiative-loi.html,https://www.canada.ca/fr/agence-revenu/programmes/a-propos-agence-revenu-canada-arc/observation/initiative-relative-agents-liaison.html,14836.0,cra-arc,46.0,Canada Revenue Agency,Agence du revenu du Canada,BRA04,N/A- S/O,N,N/A- S/O,True,2023-2024_46_3726,0.0,0.0,0.0
277,2023-2024,3707,Media Relations,Relations avec les médias,Proactive and reactive engagement with media to meet information needs.,Engagement proactif et réactif avec les médias pour répondre aux besoins d'information.,INFO,SOCIETY,EXTERN,ECONOM,'Communication Services','Services de communication',TEL,N,,,,,,,This service is delivered through various user-determined channels and will not be available through a centralized online platform.,Ce service est fourni via divers canaux déterminés par l'utilisateur et ne sera pas disponible via une plateforme en ligne centralisée.,2022-2023,,N,N,0,0,1992,0,0,0,0,0,579,Channel-specific data is not tracked/available but could include various channels.,Les données spécifiques aux chaînes ne sont pas suivies/disponibles mais peuvent inclure diverses chaînes.,,,579.0,cfia-acia,65.0,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,BVY02,,N,,True,2023-2024_65_3707,0.0,0.0,0.0
