id,eternal,year,program__id,program__eternal,program__activity_code,program__name_en,program__name_fr,cr__id,cr__eternal,cr__cr_code,department__id,department__eternal,department__tbs_dept_code,department__name_en,department__name_fr,planned_spending_1,planned_spending_1_rev,planned_spending_1_special,planned_spending_2,planned_spending_2_rev,planned_spending_2_special,planned_spending_3,planned_spending_3_rev,planned_spending_3_special,actual_spending,planned_FTE_1,planned_FTE_2,planned_FTE_3,actual_FTE,document__document,document__year,program__is_midyear
2661,648,2019,3217,324,BRD01,Federal Prosecutions,Poursuites fédérales,807,247,BRD00,480,248,ODPP,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales,171140150,,,157568231,,,157568231,,,,858,858,858,,dp_resources,2019,0
2662,514,2019,3653,257,BRE01,Compliance and Enforcement,Observation et contrôle d'application,808,248,BRE00,480,248,ODPP,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales,7478571,,,7133571,,,6538268,,,,45,45,45,,dp_resources,2019,0
2663,1434,2019,3654,717,ISS00,Internal Services,Services internes,809,249,ISS00,480,248,ODPP,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales,23296342,,,19465231,,,19666886,,,,136,136,136,,dp_resources,2019,0
2664,2294,2019,3701,1147,BWL01,Review and Appeal,Révision et appel,832,326,BWL00,491,333,VRAB,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),10911155,,,10911087,,,10911087,,,,101,101,101,,dp_resources,2019,0
2763,56,2019,3565,28,ISS0Z,Acquisition Management Services,Services de gestion des acquisitions,778,146,ISS00,467,136,GSC,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,1470495.88,1459789,0,1467950.88,1459789,0,1467950.88,1459789,0,,27,27,27,,dp_resources,2019,0
2764,444,2019,3557,222,ISS02,Communications Services,Services de communication,778,146,ISS00,467,136,GSC,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,9267527.42,0,0,9251704.42,0,0,9251704.42,0,0,,144,144,144,,dp_resources,2019,0
2766,1074,2019,3559,537,ISS04,Human Resources Management Services,Services de gestion des ressources humaines,778,146,ISS00,467,136,GSC,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,33139556.43,20610261,0,33066755.43,20610261,0,33066755.43,20610261,0,,654,654,654,,dp_resources,2019,0
2769,1602,2019,3558,801,ISS03,Legal Services,Services juridiques,778,146,ISS00,467,136,GSC,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,1772489.02,0,0,1768703.02,0,0,1768703.02,0,0,,26,26,26,,dp_resources,2019,0
2907,142,2019,3345,71,BVB07,Americas Policy & Diplomacy,Politique et diplomatie pour les Amériques,751,105,BVB00,462,126,EA,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",83020935,,,82849216,,,83961729,,,,488,488,488,,dp_resources,2019,0
2908,176,2019,3346,88,BVB08,Asia Pacific Policy & Diplomacy,Politique et diplomatie en Asie-Pacifique,751,105,BVB00,462,126,EA,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",39191377,,,39057442,,,39377891,,,,362,362,362,,dp_resources,2019,0
2909,622,2019,3343,311,BVB05,The Office of Protocol,Le Bureau du Protocole,751,105,BVB00,462,126,EA,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",45507648,,,45856619,,,45974885,,,,64,65,65,,dp_resources,2019,0
2910,726,2019,3353,363,BVB15,Environment and Climate Action,Environnement et l'action pour le climat,751,105,BVB00,462,126,EA,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",1312286,,,1312229,,,1317214,,,,15,15,15,,dp_resources,2019,0
2911,746,2019,3344,373,BVB06,"Europe, Arctic, Middle East and Maghreb Policy & Diplomacy","Politique et diplomatie en Europe, dans l'Arctique, au Moyen-Orient et au Maghreb",751,105,BVB00,462,126,EA,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",56250139,,,56210368,,,56692507,,,,588,588,588,,dp_resources,2019,0
2912,934,2019,3349,467,BVB11,Gender Equality and the Empowerment of Women and Girls,L'égalité des genres et le renforcement du pouvoir des femmes et des filles,751,105,BVB00,462,126,EA,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",1363581,,,1363691,,,1367658,,,,16,18,18,,dp_resources,2019,0
2913,936,2019,3348,468,BVB10,Geographic Coordination and Mission Support,Coordination géographique et appui aux missions,751,105,BVB00,462,126,EA,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",3990524,,,3991643,,,3976765,,,,27,27,27,,dp_resources,2019,0
