id,eternal,year,program__id,program__eternal,program__activity_code,program__name_en,program__name_fr,cr__id,cr__eternal,cr__cr_code,department__id,department__eternal,department__tbs_dept_code,department__name_en,department__name_fr,planned_spending_1,planned_spending_1_rev,planned_spending_1_special,planned_spending_2,planned_spending_2_rev,planned_spending_2_special,planned_spending_3,planned_spending_3_rev,planned_spending_3_special,actual_spending,planned_FTE_1,planned_FTE_2,planned_FTE_3,actual_FTE,document__document,document__year,program__is_midyear
30204,9289,2024,5414,249,BXT01,Company Performance,Rendement des sociétés,1072,209,BXT00,573,221,NEB,Canadian Energy Regulator,Régie canadienne de l’énergie,12881630,,,12315462,,,12218141,,,,70.8,68.8,68.8,,dp_resources,2024,0
30205,9290,2024,5415,834,BXT02,Management System and Industry Performance,Système de gestion et rendement du secteur,1072,209,BXT00,573,221,NEB,Canadian Energy Regulator,Régie canadienne de l’énergie,5302388,,,5169856,,,5143220,,,,30.5,29.5,29.5,,dp_resources,2024,0
30206,9291,2024,5416,344,BXT03,Emergency Management,Gestion des situations d'urgence,1072,209,BXT00,573,221,NEB,Canadian Energy Regulator,Régie canadienne de l’énergie,1383923,,,1373737,,,1360336,,,,7.8,7.9,7.9,,dp_resources,2024,0
30207,9292,2024,5992,1128,BXT04,Regulatory Framework,Cadre de réglementation,1072,209,BXT00,573,221,NEB,Canadian Energy Regulator,Régie canadienne de l’énergie,3395017,,,3372312,,,3359798,,,,19.7,19.5,19.5,,dp_resources,2024,0
30208,9293,2024,5418,359,BXU01,Energy System Information,Information sur les filières énergétiques,1073,210,BXU00,573,221,NEB,Canadian Energy Regulator,Régie canadienne de l’énergie,5993618,,,4241731,,,4210621,,,,39.9,27.1,27.1,,dp_resources,2024,0
30209,9294,2024,5825,1031,BXU02,Pipeline Information,Information sur les pipelines,1073,210,BXU00,573,221,NEB,Canadian Energy Regulator,Régie canadienne de l’énergie,786966,,,779717,,,753247,,,,2.6,2.5,2.5,,dp_resources,2024,0
30210,9297,2024,5422,649,BXY01,"Infrastructure, Tolls and Export Applications","Demandes relatives aux infrastructures, aux droits et aux exportations",1075,208,BXY00,573,221,NEB,Canadian Energy Regulator,Régie canadienne de l’énergie,28730875,,,26012094,,,25836695,,,,122.5,122.4,122.4,,dp_resources,2024,0
30211,9295,2024,5596,1208,BXV01,Stakeholder Engagement,Mobilisation des parties prenantes,1095,211,BXV00,573,221,NEB,Canadian Energy Regulator,Régie canadienne de l’énergie,4856816,,,4822456,,,4794055,,,,24.4,24.4,24.4,,dp_resources,2024,0
30212,9296,2024,5421,568,BXV02,Indigenous Engagement,Mobilisation des Autochtones,1095,211,BXV00,573,221,NEB,Canadian Energy Regulator,Régie canadienne de l’énergie,4330560,,,4297565,,,4243954,,,,22.9,22.9,22.9,,dp_resources,2024,0
30213,9685,2024,5132,705,ISS00,Internal Services,Services internes,1032,212,ISS00,573,221,NEB,Canadian Energy Regulator,Régie canadienne de l’énergie,43731861,,,38524360,,,37915842,,,,196.9,179,179,,dp_resources,2024,0
