,service_id,org_id,fiscal_yr,service_name_en,program_id,program_name_en,department_en,planned_spending_2024-25,planned_spending_2025-26,planned_spending_2026-27
0,3596,539,2023-2024,ATSSC General Inquiries,ISSA2,'Communications Services',Administrative Tribunals Support Service of Canada,0.0,0.0,0.0
1,3597,539,2023-2024,ATSSC Registry Services,BEE01,'Registry Services',Administrative Tribunals Support Service of Canada,12696402.0,12039827.0,12080672.0
2,3598,539,2023-2024,Access to Information and Privacy,ISS02,'Communications Services',Administrative Tribunals Support Service of Canada,0.0,0.0,0.0
3,2224,1,2023-2024,AAFC Contact Centre,BWN02,'Sector Engagement and Development',Agriculture and Agri-Food Canada,51621242.0,39616694.0,39425257.0
4,SRV03054,1,2023-2024,African Swine Fever Industry Preparedness Program: Prevention and Preparedness Stream,BWP13,'African Swine Fever Response',Agriculture and Agri-Food Canada,3500000.0,0.0,0.0
5,SRV03055,1,2023-2024,African Swine Fever Industry Preparedness Program: Welfare Slaughter and Disposal Stream,BWP13,'African Swine Fever Response',Agriculture and Agri-Food Canada,3500000.0,0.0,0.0
6,136,1,2023-2024,AgriAssurance: National Industry Association Component,BWP09,'Assurance Program',Agriculture and Agri-Food Canada,14861088.0,14861088.0,14861088.0
7,158,1,2023-2024,AgriAssurance: Small and Medium-sized Enterprise,BWP09,'Assurance Program',Agriculture and Agri-Food Canada,14861088.0,14861088.0,14861088.0
8,SRV03056,1,2023-2024,AgriCommunication,BWN09,'Food Policy Initiatives',Agriculture and Agri-Food Canada,0.0,0.0,0.0
9,144,1,2023-2024,AgriCompetitiveness,BWN02,'Sector Engagement and Development',Agriculture and Agri-Food Canada,51621242.0,39616694.0,39425257.0
10,1984,1,2023-2024,Agricultural Clean Technology Program: Adoption Stream,BWO01,'Foundational Science and Research',Agriculture and Agri-Food Canada,373074790.0,370656473.0,368136849.0
11,SRV03057,1,2023-2024,Agricultural Clean Technology:Research and Innovation Stream,BWO01,'Foundational Science and Research',Agriculture and Agri-Food Canada,373074790.0,370656473.0,368136849.0
12,SRV02745,1,2023-2024,Agriculture Climate Solutions,BWO04,'Environment and Climate Change Programs',Agriculture and Agri-Food Canada,244852628.0,241631991.0,154216523.0
13,161,1,2023-2024,AgriDiversity,BWN02,'Sector Engagement and Development',Agriculture and Agri-Food Canada,51621242.0,39616694.0,39425257.0
14,139,1,2023-2024,AgriInnovate Program,BWO03,'AgriInnovate',Agriculture and Agri-Food Canada,20456733.0,20456733.0,13617732.0
15,133,1,2023-2024,AgriInvest,BWP02,'AgriInvest',Agriculture and Agri-Food Canada,191132128.0,191132128.0,191132128.0
16,137,1,2023-2024,AgriMarketing Program: National Industry Association,BWN01,'Trade and Market Expansion',Agriculture and Agri-Food Canada,55423192.0,55731994.0,55537114.0
17,138,1,2023-2024,AgriScience Program: Projects,BWO02,'AgriScience',Agriculture and Agri-Food Canada,89462791.0,89140326.0,88523941.0
18,134,1,2023-2024,AgriStability,BWP01,'AgriStability',Agriculture and Agri-Food Canada,411758778.0,411758778.0,411758778.0
19,152,1,2023-2024,Canada Brand,BWN01,'Trade and Market Expansion',Agriculture and Agri-Food Canada,55423192.0,55731994.0,55537114.0
20,148,1,2023-2024,Canada Pavilion Program,BWN01,'Trade and Market Expansion',Agriculture and Agri-Food Canada,55423192.0,55731994.0,55537114.0
21,146,1,2023-2024,Canadian Agricultural Strategic Priorities Program,BWO05,'Canadian Agricultural Strategic Priorities Program',Agriculture and Agri-Food Canada,8389798.0,8374445.0,8375004.0
22,127,1,2023-2024,Canadian Soil Information Services (CanSIS),BWO01,'Foundational Science and Research',Agriculture and Agri-Food Canada,373074790.0,370656473.0,368136849.0
23,125,1,2023-2024,Domestic Statistics and Market Information Web,BWN02,'Sector Engagement and Development',Agriculture and Agri-Food Canada,51621242.0,39616694.0,39425257.0
24,130,1,2023-2024,Drought Watch,BWO01,'Foundational Science and Research',Agriculture and Agri-Food Canada,373074790.0,370656473.0,368136849.0
25,135,1,2023-2024,Farm Debt Mediation Service,BWP07,'Farm Debt Mediation Service',Agriculture and Agri-Food Canada,2468333.0,2472374.0,2472325.0
26,2223,1,2023-2024,Food Waste Reduction Challenge,BWN09,'Food Policy Initiatives',Agriculture and Agri-Food Canada,0.0,0.0,0.0
27,129,1,2023-2024,Geospatial,BWO01,'Foundational Science and Research',Agriculture and Agri-Food Canada,373074790.0,370656473.0,368136849.0
28,1985,1,2023-2024,Local Food Infrastructure Fund,BWN02,'Sector Engagement and Development',Agriculture and Agri-Food Canada,51621242.0,39616694.0,39425257.0
29,150,1,2023-2024,Market Access Single Window,BWN01,'Trade and Market Expansion',Agriculture and Agri-Food Canada,55423192.0,55731994.0,55537114.0
30,SRV02746,1,2023-2024,Market Development Program for Turkey and Chicken,BWN04,'Supply Management Initiatives',Agriculture and Agri-Food Canada,501120588.0,511936310.0,406760850.0
31,149,1,2023-2024,Market Intelligence and Information Service,BWN01,'Trade and Market Expansion',Agriculture and Agri-Food Canada,55423192.0,55731994.0,55537114.0
32,131,1,2023-2024,Office of Intellectual Property and Commercialization,BWO01,'Foundational Science and Research',Agriculture and Agri-Food Canada,373074790.0,370656473.0,368136849.0
33,132,1,2023-2024,Saint-Hyacinthe Research and Development Centre's Industrial Program,BWO01,'Foundational Science and Research',Agriculture and Agri-Food Canada,373074790.0,370656473.0,368136849.0
34,SRV02748,1,2023-2024,Supply Management Processing Investment Fund,BWN04,'Supply Management Initiatives',Agriculture and Agri-Food Canada,501120588.0,511936310.0,406760850.0
35,SRV02747,1,2023-2024,The Poultry and Egg-On Farm Investment Program,BWN04,'Supply Management Initiatives',Agriculture and Agri-Food Canada,501120588.0,511936310.0,406760850.0
36,SRV03058,1,2023-2024,Wine Sector Support Program,BWN02,'Sector Engagement and Development',Agriculture and Agri-Food Canada,51621242.0,39616694.0,39425257.0
37,145,1,2023-2024,Youth Employment and Skills Program,BWN02,'Sector Engagement and Development',Agriculture and Agri-Food Canada,51621242.0,39616694.0,39425257.0
38,716,12,2023-2024,Business Information Services,"BED01,BED02,BED03,BED04,BED05,BED06,BED07","'Inclusive Communities', 'Diversified Communities', 'Research and Development and Commercialization', 'Innovation Ecosystem', 'Business Growth', 'Trade and Investment', 'Policy Research and Engagement'",Atlantic Canada Opportunities Agency,357057686.0,313056667.0,221582508.0
39,3685,12,2023-2024,Grants and Contributions Programs,"BED01,BED02,BED03,BED04,BED05,BED06,BED07","'Inclusive Communities', 'Diversified Communities', 'Research and Development and Commercialization', 'Innovation Ecosystem', 'Business Growth', 'Trade and Investment', 'Policy Research and Engagement'",Atlantic Canada Opportunities Agency,357057686.0,313056667.0,221582508.0
40,717,12,2023-2024,Public Inquiries,"BED01,BED02,BED03,BED04,BED05,BED06,BED07","'Inclusive Communities', 'Diversified Communities', 'Research and Development and Commercialization', 'Innovation Ecosystem', 'Business Growth', 'Trade and Investment', 'Policy Research and Engagement'",Atlantic Canada Opportunities Agency,357057686.0,313056667.0,221582508.0
41,718,12,2023-2024,Provision of Information  - Access to Information,"BED01,BED02,BED03,BED04,BED05,BED06,BED07","'Inclusive Communities', 'Diversified Communities', 'Research and Development and Commercialization', 'Innovation Ecosystem', 'Business Growth', 'Trade and Investment', 'Policy Research and Engagement'",Atlantic Canada Opportunities Agency,357057686.0,313056667.0,221582508.0
42,669,26,2023-2024,Traveller Processing,BUF04,'Traveller Facilitation and Compliance',Canada Border Services Agency,682700938.0,634570359.0,627328693.0
43,679,26,2023-2024,Border Information Service (BIS),BUF04,'Traveller Facilitation and Compliance',Canada Border Services Agency,682700938.0,634570359.0,627328693.0
44,1548,26,2023-2024,International Events and Convention Services Program (IECSP),BUF04,'Traveller Facilitation and Compliance',Canada Border Services Agency,682700938.0,634570359.0,627328693.0
45,673,26,2023-2024,Immigration Secondary (Temporary Resident Program) Visitor,BUF04,'Traveller Facilitation and Compliance',Canada Border Services Agency,682700938.0,634570359.0,627328693.0
46,674,26,2023-2024,Immigration Secondary - (Temporary Resident Program) Work Permit,BUF04,'Traveller Facilitation and Compliance',Canada Border Services Agency,682700938.0,634570359.0,627328693.0
47,675,26,2023-2024,Immigration Secondary (Temporary Resident Program) Study Permit,BUF04,'Traveller Facilitation and Compliance',Canada Border Services Agency,682700938.0,634570359.0,627328693.0
48,676,26,2023-2024,Immigration Secondary - (Temporary Resident Program) Temporary Resident Permit,BUF04,'Traveller Facilitation and Compliance',Canada Border Services Agency,682700938.0,634570359.0,627328693.0
49,678,26,2023-2024,Refugee Claims,BUF04,'Traveller Facilitation and Compliance',Canada Border Services Agency,682700938.0,634570359.0,627328693.0
50,680,26,2023-2024,Customs Special Services,BUF05,'Commercial Facilitation and Compliance',Canada Border Services Agency,306303748.0,307520963.0,292388690.0
51,719,26,2023-2024,Carrier Code Application,BUF05,'Commercial Facilitation and Compliance',Canada Border Services Agency,306303748.0,307520963.0,292388690.0
52,720,26,2023-2024,Courier Low Value Shipments (CLVS) Program Application,BUF05,'Commercial Facilitation and Compliance',Canada Border Services Agency,306303748.0,307520963.0,292388690.0
53,724,26,2023-2024,Request for Assistance Application for Intellectual Property Rights (IPR),BUF05,'Commercial Facilitation and Compliance',Canada Border Services Agency,306303748.0,307520963.0,292388690.0
54,728,26,2023-2024,"Commercial Processing (highway, air, rail, marine, postal and courier)",BUF05,'Commercial Facilitation and Compliance',Canada Border Services Agency,306303748.0,307520963.0,292388690.0
55,723,26,2023-2024,Cultural Property Export Permits,BUF05,'Commercial Facilitation and Compliance',Canada Border Services Agency,306303748.0,307520963.0,292388690.0
56,755,26,2023-2024,Electronic Data Interchange (EDI) - Application and Testing Process,BUF05,'Commercial Facilitation and Compliance',Canada Border Services Agency,306303748.0,307520963.0,292388690.0
57,731,26,2023-2024,Customs Bonded Warehouse Licence Application,BUF13,'Trade Facilitation and Compliance',Canada Border Services Agency,64027394.0,64015007.0,62605307.0
58,741,26,2023-2024,Duty Free Shop Licence Application,BUF13,'Trade Facilitation and Compliance',Canada Border Services Agency,64027394.0,64015007.0,62605307.0
59,733,26,2023-2024,Customs Sufferance Warehouse License Application,BUF13,'Trade Facilitation and Compliance',Canada Border Services Agency,64027394.0,64015007.0,62605307.0
60,737,26,2023-2024,Release Prior to Payment Privilege,BUF13,'Trade Facilitation and Compliance',Canada Border Services Agency,64027394.0,64015007.0,62605307.0
